Category	count
PF00005	422681.3076923077
PF07690	238657.33333333334
PF00528	231064.5641025641
PF02305	81403.06666666667
PF12796	51366.743589743586
PF00884	77178.46153846153
PF00516	9626.25641025641
PF04055	132790.4871794872
PF00361	99599.10256410256
PF00873	206337.87179487178
PF00501	196898.38461538462
PF05840	54982.21212121212
PF01370	153099.20512820513
PF00171	183961.79487179487
PF00155	161833.61538461538
PF04687	87919.25
PF00133	133540.47368421053
PF00106	155958.79487179487
PF00291	128643.79487179487
PF00115	76841.17948717948
PF00266	115277.0
PF07992	140150.97435897434
PF00009	118073.46153846153
PF00753	78595.38461538461
PF00202	109378.76923076923
PF07394	39823.05128205128
PF00330	90840.8717948718
PF13414	59381.48717948718
PF00118	70400.97435897436
PF00270	87556.82051282052
PF00072	122392.69230769231
PF00696	74275.8717948718
PF00117	88808.48717948717
PF02306	53286.68421052631
PF02518	104661.7435897436
PF00206	67791.51282051283
PF01266	113266.17948717948
PF00890	68287.33333333333
PF01041	68757.71794871795
PF00271	69059.33333333333
PF00012	71840.61538461539
PF00069	47941.205128205125
PF13561	88223.48717948717
PF01926	67345.46153846153
PF00006	68387.7435897436
PF06808	72331.17948717948
PF01425	74552.05128205128
PF02925	43184.0
PF00557	65464.5641025641
PF13517	29804.026315789473
PF03030	56622.65789473684
PF02786	65167.0
PF00483	64893.846153846156
PF02653	78851.43589743589
PF02867	69159.02564102564
PF01979	55753.94871794872
PF00004	67129.17948717948
PF00535	61736.61538461538
PF08238	32960.07894736842
PF00152	60844.38461538462
PF00909	51291.35897435898
PF00082	31222.153846153848
PF00589	62323.307692307695
PF00437	39616.230769230766
PF00180	58530.256410256414
PF00920	56642.02564102564
PF00132	46653.61538461538
PF00665	62080.692307692305
PF00474	52726.07692307692
PF01040	44930.23684210526
PF00384	57668.256410256414
PF02769	44187.94871794872
PF00805	28715.07894736842
PF00275	51020.64102564102
PF01039	58074.92307692308
PF00478	43083.256410256414
PF08245	50390.97435897436
PF00248	52567.48717948718
PF02493	40601.083333333336
PF00590	45618.58974358974
PF03781	26225.384615384617
PF02779	50758.89743589744
PF00749	44827.46153846154
PF00587	51089.51282051282
PF00378	75913.71794871795
PF00579	48076.8717948718
PF02347	54688.07692307692
PF00905	54022.794871794875
PF01053	61403.64102564102
PF12697	75468.64102564103
PF00464	39605.10256410256
PF00448	36142.35897435898
PF00521	50481.10256410256
PF00107	45377.58974358974
PF02775	47970.0
PF00977	40036.07894736842
PF00146	30310.102564102563
PF03600	32036.342105263157
PF00456	48112.333333333336
PF00078	27240.263157894737
PF01546	49132.10256410256
PF02304	27365.736842105263
PF00296	53630.94594594595
PF00120	48945.55263157895
PF01645	46329.743589743586
PF00581	40959.8717948718
PF00534	44907.256410256414
PF00682	47374.4358974359
PF01977	26018.153846153848
PF07995	31433.052631578947
PF01408	27906.5641025641
PF01145	37494.31578947369
PF07583	14480.864864864865
PF00156	39531.41025641026
PF00562	42501.51282051282
PF02738	61412.97435897436
PF00476	41322.61538461538
PF00849	35838.64102564102
PF08240	39953.89743589744
PF01384	25257.21052631579
PF00400	17521.243243243243
PF13147	41008.58974358974
PF00496	44289.02564102564
PF00348	35107.05263157895
PF00586	32153.897435897437
PF01656	39465.282051282054
PF00999	35458.256410256414
PF02540	33713.1282051282
PF00294	40429.46153846154
PF03144	37505.92307692308
PF00109	37386.89743589744
PF00578	38140.48717948718
PF00709	34601.02564102564
PF09334	36206.07692307692
PF01063	34459.48717948718
PF03176	37912.205128205125
PF01380	36052.64102564102
PF02776	42448.64102564102
PF01571	56573.92307692308
PF00108	45274.46153846154
PF00293	36719.48717948718
PF07587	13265.916666666666
PF08264	32042.358974358973
PF00575	41100.92307692308
PF00571	35555.179487179485
PF13573	4363.916666666667
PF01642	30967.51282051282
PF00801	7149.263157894737
PF01264	29442.28947368421
PF13419	41293.256410256414
PF00285	35047.743589743586
PF01180	26891.897435897437
PF02463	48507.58974358974
PF04998	37614.41025641026
PF00289	36821.57894736842
PF07724	40689.743589743586
PF01077	25324.46153846154
PF00551	31165.846153846152
PF00815	34002.71052631579
PF00664	36542.205128205125
PF01411	37919.0
PF00441	58635.92307692308
PF01098	30852.153846153848
PF00730	28857.473684210527
PF00310	35883.48717948718
PF00764	28757.42105263158
PF13304	31176.076923076922
PF00389	32439.0
PF02163	26701.615384615383
PF00425	30645.74358974359
PF07733	35530.717948717946
PF00185	25284.23076923077
PF00916	21873.21052631579
PF00154	34990.02564102564
PF01964	22092.57894736842
PF01435	26320.05128205128
PF13360	22622.30769230769
PF01061	25097.394736842107
PF00924	29580.28205128205
PF00814	29297.153846153848
PF01207	28673.410256410258
PF13855	16527.69230769231
PF00892	50327.07692307692
PF01578	27985.102564102563
PF00549	24841.13157894737
PF01134	30913.615384615383
PF02355	29956.358974358973
PF00472	22276.447368421053
PF01391	14166.157894736842
PF06723	27683.0
PF02548	19319.74358974359
PF06418	25058.128205128207
PF00809	25328.71794871795
PF00383	22736.28947368421
PF00793	34291.07692307692
PF00346	23073.157894736843
PF01966	27616.128205128207
PF03971	21479.0
PF00113	26738.973684210527
PF02780	26446.666666666668
PF00580	36995.282051282054
PF00344	27436.13157894737
PF01066	24886.923076923078
PF02441	18050.102564102563
PF00731	17267.052631578947
PF01261	21003.102564102563
PF00701	27988.48717948718
PF01458	24314.102564102563
PF01565	28489.871794871793
PF01467	25300.923076923078
PF12799	9289.78947368421
PF01131	30274.02564102564
PF02934	25520.02564102564
PF13631	17356.763157894737
PF04551	25526.076923076922
PF02719	24248.657894736843
PF00158	31586.23076923077
PF13361	35635.53846153846
PF02574	25682.871794871793
PF00750	25016.410256410258
PF03796	30892.28205128205
PF05221	27260.53846153846
PF01702	22307.973684210527
PF00883	26151.0
PF02445	21737.0
PF00491	24365.97435897436
PF01609	31360.384615384617
PF01494	30849.641025641027
PF00459	32529.5
PF13193	30961.410256410258
PF02774	23959.13157894737
PF01019	32588.923076923078
PF00149	25711.97435897436
PF13393	29297.63157894737
PF02913	27177.973684210527
PF13365	21688.76923076923
PF00950	14301.918918918918
PF01058	14918.0
PF01138	27025.0
PF00162	27122.526315789473
PF00490	23732.20512820513
PF00591	24560.102564102563
PF01557	24988.358974358973
PF02729	23275.736842105263
PF04851	30819.846153846152
PF00733	20193.0
PF02803	27585.02564102564
PF00994	23458.333333333332
PF02801	19946.17948717949
PF02348	23858.384615384617
PF13520	17097.128205128207
PF00355	21951.842105263157
PF03382	12076.947368421053
PF02754	21656.052631578947
PF02882	17979.526315789473
PF02233	24422.243243243243
PF00990	50673.48717948718
PF00160	23675.184210526317
PF00694	20944.20512820513
PF00795	24365.153846153848
PF13489	28874.589743589742
PF00364	23016.128205128207
PF01432	22962.102564102563
PF01293	20024.128205128207
PF00676	27309.384615384617
PF01493	21661.315789473683
PF04997	25566.897435897437
PF02386	21637.342105263157
PF02875	21023.897435897437
PF01925	25090.53846153846
PF02811	20782.53846153846
PF00953	16429.07894736842
PF03721	21474.947368421053
PF01406	25123.28947368421
PF01676	17408.5
PF01751	24458.684210526317
PF05721	18233.394736842107
PF00510	22159.552631578947
PF00588	24522.76923076923
PF12704	19672.02564102564
PF01699	14790.74358974359
PF00512	33268.64102564102
PF04412	8639.542857142857
PF00227	17368.342105263157
PF01523	22203.315789473683
PF01855	14924.794871794871
PF01259	20831.184210526317
PF00254	18808.30769230769
PF00773	18993.076923076922
PF05690	16940.07894736842
PF12025	12945.947368421053
PF07517	22338.25641025641
PF03977	16721.783783783783
PF03372	30124.05128205128
PF01048	22692.263157894737
PF01008	15431.105263157895
PF02515	31812.5
PF00205	25466.763157894737
PF01135	16341.868421052632
PF01808	21828.71052631579
PF13424	10322.0
PF02494	6959.657142857143
PF03129	18041.447368421053
PF00122	22127.23076923077
PF00929	26960.552631578947
PF00702	21405.28205128205
PF03466	61839.46153846154
PF01168	21170.97435897436
PF01580	17391.684210526317
PF01513	19207.76923076923
PF13177	19461.48717948718
PF02687	18213.641025641027
PF01791	12501.394736842105
PF00679	22074.20512820513
PF12838	14013.205128205129
PF00326	22770.641025641027
PF00465	23502.30769230769
PF13519	17432.410256410258
PF01709	15294.923076923076
PF13507	18768.36842105263
PF13753	12307.055555555555
PF01262	18106.736842105263
PF02401	19007.05128205128
PF02310	16260.897435897436
PF02784	20459.184210526317
PF02538	20272.07894736842
PF12804	18460.666666666668
PF00198	26031.615384615383
PF02896	23020.05128205128
PF01960	19358.36842105263
PF12850	22857.846153846152
PF00290	17510.342105263157
PF03446	19297.076923076922
PF00732	28537.153846153848
PF02696	18726.4358974359
PF12700	27807.17948717949
PF03023	17831.28947368421
PF02852	19557.94871794872
PF03989	20983.342105263157
PF03054	23129.333333333332
PF03699	10605.833333333334
PF01026	20467.71794871795
PF02092	20273.894736842107
PF00382	8243.542857142857
PF01551	19708.641025641027
PF00056	12978.5
PF01717	15901.605263157895
PF04542	23931.30769230769
PF02878	19467.28947368421
PF00902	14950.23076923077
PF01208	17959.5641025641
PF00698	19389.0
PF08442	16266.052631578947
PF01433	18117.71794871795
PF04909	18110.333333333332
PF01790	14425.236842105263
PF13183	16102.692307692309
PF00144	22946.53846153846
PF07732	10056.194444444445
PF03916	10426.54054054054
PF01527	21448.69230769231
PF00933	20344.589743589742
PF00499	12109.405405405405
PF03167	16807.615384615383
PF00899	14263.473684210527
PF00488	12503.868421052632
PF02772	11689.078947368422
PF01434	18093.30769230769
PF13714	17122.815789473683
PF02910	16988.71052631579
PF00230	9978.815789473685
PF01379	15018.026315789473
PF00121	15681.076923076924
PF02628	14972.5
PF00834	17554.18918918919
PF02894	14420.948717948719
PF02384	15528.947368421053
PF00306	19282.63157894737
PF01118	17123.342105263157
PF00208	14714.23076923077
PF00034	17220.871794871793
PF00872	16819.4358974359
PF01612	20882.486486486487
PF01326	19210.53846153846
PF01545	19489.21052631579
PF02866	13444.052631578947
PF01625	16386.0
PF01071	15692.641025641025
PF00374	8381.128205128205
PF13614	13040.578947368422
PF02737	19907.128205128207
PF07969	22663.157894736843
PF02547	18096.842105263157
PF01300	15523.052631578947
PF00141	24602.20512820513
PF13458	28434.46153846154
PF13358	10664.567567567568
PF08352	13911.871794871795
PF13683	17654.51282051282
PF01409	20333.473684210527
PF03480	30350.641025641027
PF01139	8947.0
PF13442	16714.05128205128
PF01968	15311.026315789473
PF07726	13207.871794871795
PF05496	16697.105263157893
PF13522	17892.53846153846
PF00860	22577.20512820513
PF13180	15023.076923076924
PF13247	10762.583333333334
PF02417	13470.916666666666
PF13544	8496.605263157895
PF00145	15841.589743589744
PF00176	16173.820512820514
PF02508	16587.162162162163
PF01618	18593.51282051282
PF07715	40179.820512820515
PF03572	16940.162162162163
PF00303	13517.513513513513
PF01255	15301.0
PF01555	23287.871794871793
PF13292	17402.42105263158
PF02879	14818.23076923077
PF02773	13674.026315789473
PF00268	27227.51282051282
PF02880	15423.97435897436
PF00111	19779.94871794872
PF02771	34455.58974358974
PF00497	26574.05128205128
PF03102	17574.384615384617
PF01916	13537.864864864865
PF01970	19200.17948717949
PF03328	15105.410256410256
PF02219	18939.447368421053
PF04898	18013.973684210527
PF01729	11861.394736842105
PF02543	15094.74358974359
PF01225	13304.179487179486
PF01209	16793.18918918919
PF03116	13314.868421052632
PF00919	12750.435897435897
PF02412	5985.3421052631575
PF07728	20287.102564102563
PF03702	15189.0
PF12002	10141.846153846154
PF01747	10894.473684210527
PF00926	16157.21052631579
PF01037	10896.74358974359
PF00572	10953.153846153846
PF13860	9715.891891891892
PF01336	14308.128205128205
PF14492	16444.36842105263
PF01488	12629.871794871795
PF00226	14563.76923076923
PF03740	13487.21052631579
PF00127	7783.054054054054
PF07556	6970.305555555556
PF00365	14137.871794871795
PF00211	16592.0
PF02668	17201.054054054053
PF04127	11522.02564102564
PF04563	21897.46153846154
PF03462	13934.921052631578
PF02683	12586.179487179486
PF01678	13619.842105263158
PF01694	11010.447368421053
PF05362	17557.97435897436
PF00085	15997.410256410256
PF01512	16624.97435897436
PF01351	13103.28205128205
PF10150	18873.756756756757
PF00881	17543.153846153848
PF07676	15016.51282051282
PF00771	11276.846153846154
PF02826	15458.820512820514
PF00300	15073.842105263158
PF01450	13192.263157894737
PF12705	11993.102564102564
PF04166	13143.23076923077
PF00436	12148.973684210527
PF01795	15930.21052631579
PF01171	15070.105263157895
PF01268	18829.615384615383
PF00032	9747.684210526315
PF02562	21637.666666666668
PF00119	14753.263157894737
PF00574	16373.564102564103
PF00725	16530.30769230769
PF02492	11483.78947368421
PF03237	28748.394736842107
PF02091	14937.641025641025
PF00406	14166.394736842105
PF03308	9414.358974358975
PF00593	57323.94871794872
PF01235	15986.631578947368
PF02350	14024.538461538461
PF02504	16306.567567567568
PF02739	15272.28205128205
PF00318	15557.97435897436
PF02800	16101.538461538461
PF04726	8353.111111111111
PF00215	13824.078947368422
PF01588	12966.23076923077
PF13385	6715.315789473684
PF01653	15418.410256410256
PF01636	20651.53846153846
PF03764	13734.473684210527
PF00204	18466.763157894737
PF01765	11451.589743589744
PF14572	11962.378378378378
PF00654	10260.473684210527
PF08669	18798.128205128207
PF00583	16720.71794871795
PF05958	12854.394736842105
PF01725	12889.333333333334
PF00044	15291.794871794871
PF12706	17790.894736842107
PF07994	9280.435897435897
PF13306	4338.777777777777
PF02096	15236.078947368422
PF13406	13702.921052631578
PF02606	11294.105263157895
PF06508	10764.97435897436
PF00011	11001.368421052632
PF01175	10348.894736842105
PF00075	10597.263157894737
PF01497	9204.684210526315
PF13603	12359.394736842105
PF13276	13358.102564102564
PF02142	14158.131578947368
PF01967	9199.864864864865
PF00420	10253.868421052632
PF00984	13188.384615384615
PF00183	14656.578947368422
PF03483	12491.21052631579
PF08241	14585.538461538461
PF03725	13317.76923076923
PF00224	16130.51282051282
PF13589	11287.615384615385
PF12695	18212.972972972973
PF00278	14126.410256410256
PF00252	11044.333333333334
PF01761	14415.157894736842
PF03952	11203.076923076924
PF00675	14360.153846153846
PF00563	39046.179487179485
PF00939	9035.0
PF13662	12804.51282051282
PF02581	10345.921052631578
PF00175	12941.28205128205
PF00375	13240.589743589744
PF00742	11726.74358974359
PF01507	11175.684210526315
PF01842	13939.973684210527
PF00817	13017.871794871795
PF01116	11997.51282051282
PF02874	12972.0
PF00691	13504.871794871795
PF13646	5641.771428571428
PF07991	13183.894736842105
PF08543	11137.538461538461
PF01641	12329.394736842105
PF02569	11286.871794871795
PF06439	6238.972972972973
PF13537	12249.358974358975
PF02965	12011.763157894737
PF01230	12407.684210526315
PF03950	10975.102564102564
PF00988	11008.631578947368
PF01327	14667.157894736842
PF13792	7661.421052631579
PF13847	12563.384615384615
PF00762	15701.578947368422
PF00177	11606.736842105263
PF05193	14322.868421052632
PF02621	4973.605263157895
PF13793	11059.216216216217
PF03143	12337.71052631579
PF00923	14155.871794871795
PF00438	9406.973684210527
PF02673	12306.973684210527
PF02568	7623.263157894737
PF00136	17770.57894736842
PF00398	14206.684210526315
PF09335	13786.052631578947
PF00308	16665.05128205128
PF02254	16421.684210526317
PF02770	21314.923076923078
PF00342	14772.71794871795
PF01975	9187.410256410256
PF03099	11663.358974358975
PF00164	10421.368421052632
PF10431	15081.923076923076
PF00763	9391.48717948718
PF01227	12581.78947368421
PF03949	15373.763157894737
PF01883	7587.051282051282
PF00116	11976.054054054053
PF07977	15369.105263157895
PF01634	9957.820512820514
PF02572	7441.7692307692305
PF01464	15530.948717948719
PF02277	8194.166666666666
PF10609	8037.631578947368
PF01274	24599.945945945947
PF07670	8379.28205128205
PF00231	16449.128205128207
PF00218	13054.23076923077
PF01865	7601.307692307692
PF02511	14478.447368421053
PF02629	10514.315789473685
PF02785	13893.973684210527
PF00091	11704.410256410256
PF08502	12117.564102564103
PF02746	9969.868421052632
PF08282	10093.48717948718
PF04389	12031.21052631579
PF00368	9342.684210526315
PF01746	13476.894736842105
PF05222	11868.526315789473
PF00561	21998.48717948718
PF00687	14361.026315789473
PF01568	11153.74358974359
PF01256	10147.918918918918
PF01553	16054.897435897436
PF01969	6569.9473684210525
PF02601	10544.342105263158
PF01933	6503.8421052631575
PF00482	10007.871794871795
PF03190	9056.263157894737
PF01075	11458.378378378378
PF01715	12018.78947368421
PF02637	9025.131578947368
PF13580	9824.921052631578
PF00623	12593.28205128205
PF02222	9733.432432432432
PF01594	11824.368421052632
PF00903	13005.102564102564
PF00015	24522.076923076922
PF02223	9602.153846153846
PF13465	3196.212121212121
PF00724	25432.897435897437
PF00380	9750.97435897436
PF07516	11795.578947368422
PF13328	12847.48717948718
PF13238	6242.257142857143
PF01212	8910.157894736842
PF00221	9692.315789473685
PF05199	14320.894736842105
PF13541	9269.78947368421
PF01592	10619.135135135135
PF02397	11769.051282051281
PF07478	11427.0
PF13088	7276.405405405405
PF01479	10716.51282051282
PF01728	11370.105263157895
PF05681	9863.948717948719
PF01042	13029.333333333334
PF01416	11881.605263157895
PF00041	5568.486486486487
PF13701	16184.157894736842
PF08497	8542.555555555555
PF14520	11201.205128205129
PF01368	10426.736842105263
PF02670	6714.918918918919
PF03060	16096.205128205129
PF01027	11395.108108108108
PF08459	10554.28947368421
PF00209	10659.333333333334
PF13378	9294.23076923077
PF02153	10508.25641025641
