Category	anantharaman_abe_1_1	anantharaman_abe_2_2	anantharaman_abe_background_3	anantharaman_kilo_moana_km1_4	anantharaman_kilo_moana_km4_1_5	anantharaman_kilo_moana_km4_2_6	anantharaman_mariner_7	anantharaman_mariner_background_8	anantharaman_tahi_moana_9	anantharaman_tahi_moana_background_10	anantharaman_tui_malila_11	anderson_hulk_cellular_12	anderson_hulk_virome_13	axial_seamount_unpublished_anemone_14	axial_seamount_unpublished_dependable_15	axial_seamount_unpublished_elguapo_16	axial_seamount_unpublished_marker113_18	axial_seamount_unpublished_marker33_17	axial_seamount_unpublished_marshmallow_19	axial_seamount_unpublished_n3_20	cayman_rise_unpublished_beebe_21	cayman_rise_unpublished_beebe_background_22	cayman_rise_unpublished_von_damm_2041_23	cayman_rise_unpublished_von_damm_2238_24	lanzen_trollveggen_25	lesniewski_guaymas_basin_GD1_26	lesniewski_guaymas_basin_GD2_27	nakai_fryer_28	perner_sisters_peak_29	stokke_lokis_castle_30	tang_kueishantao_G1_31	tang_kueishantao_G2_32	TARA_023_DCM_0.22-1.6_41	TARA_023_SRF_0.22-1.6_40	TARA_038_MES_0.1-0.22_36	TARA_038_MES_0.22-1.6_42	TARA_048_SRF_0.1-0.22_37	TARA_122_DCM_0.1-0.22_38	xie_4143-1_33	
PF00005	313933	601261	221034	529568	189659	567360	823652	475966	404485	809758	841411	2305	395	530484	85415	955330	207390	69742	126312	51208	1263873	1319939	1333442	908431	1375	2259	3011	299	370	3209	1241	3072	966115	1003485	356944	1326744	174391	8462	1241	
PF07690	254654	321926	161488	405921	155882	298833	673246	314053	185120	453703	335619	939	187	226047	76414	384947	80650	29913	60199	22167	719641	742423	965455	627211	426	714	876	4763	99	868	415	954	340722	363405	295789	588752	204287	8502	426	
PF00528	196264	325032	159074	374416	112232	300154	416727	336613	311580	319950	615166	628	119	209893	41532	388024	74778	24123	44718	16800	660764	706604	650594	450998	355	845	1085	114	13	736	295	1125	649722	699602	131696	714109	70599	3853	586	
PF02305	167643	105719	110438	191952	104289	136240	133547	133556	153805	156050	122455	0	0	662	67	1685	28	33	1693	351	159119	263380	168120	272663	0	0	0	1	61	0	0	0	487	88	31268	287	26391	14	0	
PF12796	154091	107685	45003	80206	87403	157129	56494	94564	55128	75744	106888	128	67	41470	5908	106348	17792	6527	10016	3439	175617	181218	125717	93290	101	214	255	6	13	375	22	25	50451	76581	18901	49085	18738	645	19	
PF00884	140991	91053	26362	86749	44263	125672	104795	93772	49172	82322	109587	272	33	99982	6029	263569	35046	12308	18539	5496	326549	310361	245363	178138	218	538	821	13	10	309	20	89	190284	191177	18977	136720	13757	427	177	
PF00516	140395	9663	12378	20534	9892	9122	7362	7859	12659	10118	31747	15	9	6673	697	11700	2958	977	1675	544	10813	10103	8530	5921	21	30	32	10	132	20	14	21	6978	6129	7687	8552	13098	354	2	
PF04055	133371	264417	88791	180376	89601	240067	284211	181051	211435	331206	247150	1077	203	230141	21261	357145	102314	33600	53854	22113	368792	311009	325024	225107	761	935	1294	1941	42	1797	927	918	169651	167464	89116	404895	33546	1673	553	
PF00361	132781	237573	61925	131237	104865	217225	184114	238003	135770	275299	188918	438	98	137780	9982	232933	35810	17875	31140	10515	258079	234236	179860	133816	344	457	430	12	19	707	364	898	161677	170495	29707	310144	17926	725	188	
PF00873	130760	234072	51442	165064	82370	202766	1121255	159597	81312	521045	158686	1440	260	239953	58640	341827	72448	30917	61113	25554	463699	462616	1314953	791290	1049	732	1106	462	39	3949	733	1742	203042	225935	460633	246814	115611	11201	1050	
