vent	project	ocean	ocean_detail	platform
anantharaman_abe_1_1	Anantharaman	Pazifik	Pazifik, SW	illumina
anantharaman_abe_2_2	Anantharaman	Pazifik	Pazifik, SW	illumina
anantharaman_abe_background_3	Anantharaman	Pazifik	Pazifik, SW	illumina
anantharaman_kilo_moana_km1_4	Anantharaman	Pazifik	Pazifik, SW	illumina
anantharaman_kilo_moana_km4_1_5	Anantharaman	Pazifik	Pazifik, SW	illumina
anantharaman_kilo_moana_km4_2_6	Anantharaman	Pazifik	Pazifik, SW	illumina
anantharaman_mariner_7	Anantharaman	Pazifik	Pazifik, SW	illumina
anantharaman_mariner_background_8	Anantharaman	Pazifik	Pazifik, SW	illumina
anantharaman_tahi_moana_9	Anantharaman	Pazifik	Pazifik, SW	illumina
anantharaman_tahi_moana_background_10	Anantharaman	Pazifik	Pazifik, SW	illumina
anantharaman_tui_malila_11	Anantharaman	Pazifik	Pazifik, SW	illumina
anderson_hulk_cellular_12	Anderson	Pazifik	Pazifik, NO	454
anderson_hulk_virome_13	Anderson	Pazifik	Pazifik, NO	454
axial_seamount_unpublished_anemone_14	Axial_seamount	Pazifik	Pazifik, NO	illumina
axial_seamount_unpublished_dependable_15	Axial_seamount	Pazifik	Pazifik, NO	illumina
axial_seamount_unpublished_elguapo_16	Axial_seamount	Pazifik	Pazifik, NO	illumina
axial_seamount_unpublished_marker113_18	Axial_seamount	Pazifik	Pazifik, NO	illumina
axial_seamount_unpublished_marker33_17	Axial_seamount	Pazifik	Pazifik, NO	illumina
axial_seamount_unpublished_marshmallow_19	Axial_seamount	Pazifik	Pazifik, NO	illumina
axial_seamount_unpublished_n3_20	Axial_seamount	Pazifik	Pazifik, NO	illumina
cayman_rise_unpublished_beebe_21	Cayman_rise	Atlantik	Atlantik, W	illumina
cayman_rise_unpublished_beebe_background_22	Cayman_rise	Atlantik	Atlantik, W	illumina
cayman_rise_unpublished_von_damm_2041_23	Cayman_rise	Atlantik	Atlantik, W	illumina
cayman_rise_unpublished_von_damm_2238_24	Cayman_rise	Atlantik	Atlantik, W	illumina
lanzen_trollveggen_25	Lanzen	Arktik	Arktik	454
lesniewski_guaymas_basin_GD1_26	Lesniewski	Pazifik	Pazifik, O	454
lesniewski_guaymas_basin_GD2_27	Lesniewski	Pazifik	Pazifik, O	454
nakai_fryer_28	Nakai	Pazifik	Pazifik, W	454
perner_sisters_peak_29	Perner	Atlantik	Atlantik, S	454
stokke_lokis_castle_30	Stokke	Arktik	Arktik	454
tang_kueishantao_G1_31	Tang	Pazifik	Pazifik, W	454
tang_kueishantao_G2_32	Tang	Pazifik	Pazifik, W	454
xie_4143-1_33	Xie	Pazifik	Pazifik, NO	454
