#frequency	superkingdom	phylum	class	order	family	genus	species
0.000025	Bacteria	Proteobacteria	Betaproteobacteria	Unknown Betaproteobacteria	Unknown Unknown Betaproteobacteria	Candidatus Profftella	Unknown Candidatus Profftella
0.000006	Bacteria	Candidatus Saccharibacteria	Unknown Candidatus Saccharibacteria	Unknown Unknown Candidatus Saccharibacteria	Unknown Unknown Unknown Candidatus Saccharibacteria	Candidatus Saccharimonas	Unknown Candidatus Saccharimonas
0.003914	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Myoviridae	Viunalikevirus	Unknown Viunalikevirus
0.000000	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Salinarchaeum	Unknown Salinarchaeum
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Myoviridae	PhiCD119likevirus	Unknown PhiCD119likevirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Myoviridae	Felixounalikevirus	Unknown Felixounalikevirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Myoviridae	Bcepmulikevirus	Unknown Bcepmulikevirus
0.002084	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Myoviridae	Schizot4likevirus	Unknown Schizot4likevirus
0.000127	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Myoviridae	Twortlikevirus	Unknown Twortlikevirus
0.000011	Bacteria	Unknown Unknown Bacteria	Unknown Unknown Unknown Bacteria	Unknown Unknown Unknown Unknown Bacteria	Unknown Unknown Unknown Unknown Unknown Bacteria	Candidatus Methylomirabilis	Unknown Candidatus Methylomirabilis
0.000023	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Marseillevirus family	Unknown Marseillevirus family	Unknown Unknown Marseillevirus family
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Siphoviridae	Spbetalikevirus	Unknown Spbetalikevirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Myoviridae	Phikzlikevirus	Unknown Phikzlikevirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Myoviridae	I3likevirus	Unknown I3likevirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Poxviridae	Cervidpoxvirus	Unknown Cervidpoxvirus
0.000338	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Pseudogulbenkiania	Unknown Pseudogulbenkiania
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Baculoviridae	Betabaculovirus	Unknown Betabaculovirus
0.000001	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Baculoviridae	Alphabaculovirus	Unknown Alphabaculovirus
0.000001	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Herpesvirales	Herpesviridae	Percavirus	Unknown Percavirus
0.000000	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Herpesvirales	Herpesviridae	Macavirus	Unknown Macavirus
