pfam	count
ABC transporter(PF00005)	12648326
Major Facilitator Superfamily(PF07690)	7508127
inding-protein-dependent trans...(PF00528)	6741902
Capsid protein (F protein)(PF02305)	2383556
Ankyrin repeats (3 copies)(PF12796)	1788900
Sulfatase(PF00884)	2458612
Envelope glycoprotein GP120(PF00516)	332617
Radical SAM superfamily(PF04055)	4312029
ADH-Ubiquinone/plastoquinone (...(PF00361)	3193686
AcrB/AcrD/AcrF family(PF00873)	6783682
AMP-binding enzyme(PF00501)	5718704
acteriophage replication gene ...(PF05840)	1775719
AD dependent epimerase/dehydra...(PF01370)	4323181
Aldehyde dehydrogenase family(PF00171)	5164247
minotransferase class I and II...(PF00155)	5059650
icrovirus H protein (pilot pro...(PF04687)	1707162
RNA synthetases class I (I, L,...(PF00133)	3881464
short chain dehydrogenase(PF00106)	4812272
yridoxal-phosphate dependent e...(PF00291)	3947054
ytochrome C and Quinol oxidase...(PF00115)	2457368
Aminotransferase class-V(PF00266)	3614502
yridine nucleotide-disulphide ...(PF07992)	4300086
longation factor Tu GTP bindin...(PF00009)	3465556
etallo-beta-lactamase superfam...(PF00753)	2582022
Aminotransferase class-III(PF00202)	3382058
rotein of unknown function (DU...(PF07394)	1436521
conitase family (aconitate hyd...(PF00330)	2677500
TPR repeat(PF13414)	1964107
TCP-1/cpn60 chaperonin family(PF00118)	2048372
DEAD/DEAH box helicase(PF00270)	2816562
esponse regulator receiver dom...(PF00072)	3894504
Amino acid kinase family(PF00696)	2355211
lutamine amidotransferase clas...(PF00117)	2664309
ajor spike protein (G protein)...(PF02306)	988781
istidine kinase-, DNA gyrase B...(PF02518)	3287452
Lyase(PF00206)	2053348
FAD dependent oxidoreductase(PF01266)	3108961
FAD binding domain(PF00890)	2021264
egT/DnrJ/EryC1/StrS aminotrans...(PF01041)	2126223
elicase conserved C-terminal d...(PF00271)	2076666
Hsp70 protein(PF00012)	2081441
Protein kinase domain(PF00069)	1626088
noyl-(Acyl carrier protein) re...(PF13561)	2575585
50S ribosome-binding GTPase(PF01926)	2101658
TP synthase alpha/beta family,...(PF00006)	1969439
DctM-like transporters(PF06808)	1975078
Amidase(PF01425)	2327582
