pfam	count
PF00005	4976335
PF02305	1368376
PF00528	2822235
PF05840	996018
PF00884	1110973
PF00133	2396341
PF00873	3263563
PF04687	892233
PF04055	2262548
PF00361	1793218
PF00501	2263071
PF00291	2097557
PF00155	2732902
PF00171	2382656
PF00115	1557040
PF01370	2022444
PF00266	1905888
PF00009	1892664
PF07690	2249086
PF07992	2328886
PF07394	495585
PF00202	1737023
PF00330	1442018
PF02306	561310
PF00118	1064566
PF00117	1489376
PF00696	1315038
PF00206	1141827
PF00890	1140235
PF00270	1441918
PF01266	1462399
PF00106	1252508
PF00753	1404527
PF00006	1100597
PF00012	1192757
PF00557	1144338
PF01926	1242016
PF02867	1000325
PF01041	1029922
PF00271	1004662
PF01979	1039471
PF03030	998630
PF02786	994987
PF02925	371478
PF06808	872221
PF00152	1125581
PF00483	1129350
PF00389	996660
PF00384	909916
PF00004	995498
PF01425	848263
PF00920	884741
PF00474	850384
PF13561	975046
PF00180	856599
PF12796	229887
PF02653	834129
PF00437	569292
PF00909	645293
PF00587	868285
PF02304	306911
PF00749	829597
PF00275	912305
PF01040	843531
PF01039	816416
PF00590	926649
PF00478	721525
PF00665	671497
PF02779	726200
PF00579	846275
PF02769	833252
PF00464	716880
PF00072	1200302
PF00521	827611
PF05221	694851
PF00977	738438
PF00120	700001
PF02347	788227
PF00456	815877
PF01645	743587
PF03176	961820
PF00082	537377
PF07995	562231
PF02775	650310
PF03600	635737
PF00248	679081
PF08245	903808
PF00448	628301
PF01053	889218
PF01977	591789
PF02518	976434
PF00562	657941
PF00296	546449
PF09334	666345
PF00146	572818
PF02463	778125
PF00905	870283
PF00682	684423
PF07583	175796
PF01546	680279
PF01145	615144
PF00581	854471
PF13360	340732
PF13414	474738
PF00107	621390
PF02738	687224
PF00535	712303
PF03781	363269
PF00476	632726
PF00586	593843
PF01077	654951
PF00589	635535
PF00578	779952
PF00709	615012
PF01063	675476
PF01571	757767
PF00815	595023
PF02776	585330
PF04998	586971
PF00378	662492
PF00348	596875
PF00156	589831
PF02540	558067
PF00108	567935
PF13147	511172
PF00764	510422
PF00285	609423
PF07587	154963
PF01642	443318
PF01656	629266
PF00849	675710
PF01264	529906
PF12697	784742
PF01380	609507
PF00109	591396
PF01411	630754
PF00496	621790
PF00999	630031
PF00132	524502
PF00289	537643
PF08264	611675
PF01180	553649
PF01261	335906
PF01964	512194
PF00293	582658
PF01384	497029
PF08240	490248
PF07724	592722
PF01061	495423
PF00294	632894
PF00310	647562
PF03144	525440
PF00069	376727
PF01207	585719
PF00551	563931
PF13419	741441
PF07733	503493
PF00154	449497
PF00730	485892
PF01435	565323
PF00575	587822
PF00924	544681
PF00185	457505
PF00916	551667
PF01134	480319
PF00425	490594
PF00441	541849
PF06723	490068
PF06418	445344
PF01578	548282
PF00664	657694
PF00750	525551
PF00534	541991
PF02163	511296
PF02548	369519
PF03971	498881
PF00346	437463
PF13304	450700
PF00113	469547
PF00892	751555
PF01676	446812
PF01458	307099
PF01467	458141
PF00078	297126
PF00571	582066
PF00472	346483
PF00793	548024
PF01408	277579
PF02441	376264
PF00701	426089
PF01609	444022
PF02934	439111
PF02445	412652
PF01066	484062
PF13393	542622
PF00491	411007
PF00809	441854
PF04551	413120
PF00344	426639
PF00580	603533
PF02574	458771
PF04412	256330
PF00814	488381
PF01098	475654
PF01702	440776
PF02719	445411
PF00950	322511
PF00549	383282
PF07517	446077
PF13631	303057
PF08238	293658
PF13394	455148
PF01565	448143
PF00383	388313
PF02913	469452
PF00149	540164
PF01925	549612
PF03796	395479
PF01717	278423
PF01966	396504
PF00883	415711
PF02355	483923
PF01131	427504
PF00459	578370
PF00731	295916
PF01058	291660
PF00733	409324
PF02774	400775
PF02729	403316
PF00490	411383
PF00162	450398
PF00355	362017
PF13520	341008
PF00591	490810
PF12704	416760
PF01523	510031
PF01293	344322
PF03699	262666
PF01493	378810
PF02780	374684
PF00158	350157
PF01432	467792
PF02803	346232
PF00694	327462
PF01138	368728
PF02882	310417
