species,freqsum
Unknown Candidatus Profftella,0.035113000000000005
Unknown Candidatus Saccharimonas,0.024306
Unknown Viunalikevirus,0.005153
Unknown Salinarchaeum,0.02383100000000001
Unknown PhiCD119likevirus,0.0009830000000000004
Unknown Felixounalikevirus,0.000255
Unknown Bcepmulikevirus,0.000438
Unknown Schizot4likevirus,0.0017209999999999999
Unknown Twortlikevirus,0.00083
Unknown Candidatus Methylomirabilis,0.031472
Unknown Unknown Marseillevirus family,0.003804
Unknown Spbetalikevirus,0.000103
Unknown Phikzlikevirus,0.008088
Unknown I3likevirus,0.001819
Unknown Cervidpoxvirus,9.0e-06
Unknown Pseudogulbenkiania,0.001171
Unknown Gammabaculovirus,3.7e-05
Unknown Betabaculovirus,9.3e-05
Unknown Alphabaculovirus,0.000153
Unknown Percavirus,1.6e-05
Unknown Macavirus,1.4e-05
Unknown Unknown Unknown Unknown Unknown Synergistetes,0.005588
Unknown Chelativorans,0.0006779999999999999
Unknown Aciduliprofundum,0.03243800000000001
Unknown Nakaseomyces,0.000604
Unknown Rivularia,0.00036799999999999995
Unknown Coccolithovirus,0.014743999999999998
Unknown Nitrosopumilus,1.1950230000000002
Unknown N15likevirus,6.8e-05
Unknown Megalocytivirus,0.0009739999999999999
Unknown Krokinobacter,0.017028
Unknown Pusillimonas,0.003324
Unknown Herminiimonas,0.0016779999999999998
Unknown Lachancea,0.0006929999999999999
Unknown Lacinutrix,0.009426999999999998
Unknown Sulfuricurvum,0.047736999999999995
Unknown Nitratiruptor,0.099305
Unknown Sulfurovum,0.5371159999999999
Unknown Pseudovibrio,0.000876
Unknown Maribacter,0.178402
Unknown Sulfurihydrogenibium,0.053096000000000004
Unknown Candidatus Blochmannia,0.003592
Unknown Candidatus Pelagibacter,0.40442500000000003
Unknown Methanocaldococcus,0.004375
Unknown Jannaschia,0.008258999999999999
Unknown T5likevirus,0.000929
Unknown Unknown Peptostreptococcaceae,0.00047599999999999997
Unknown Unknown Unknown Clostridiales,0.002046
Unknown P22likevirus,0.00013
Unknown Punalikevirus,0.006559000000000001
Unknown Mulikevirus,5.2e-05
Unknown Lambdalikevirus,0.00486
Unknown Phaeovirus,0.000748
Unknown Chlorovirus,0.0010600000000000002
Unknown Iltovirus,4.8e-05
Unknown Mardivirus,4.1e-05
Unknown Hydrogenobaculum,0.05203699999999999
Unknown Novosphingobium,0.005208
Unknown Sphingobium,0.003303
Unknown Anaeromyxobacter,0.0008110000000000001
Unknown P2likeviruses,0.000689
Unknown Spounalikevirus,0.001138
Unknown Oceanimonas,0.006165
Unknown Geobacillus,0.0029710000000000006
Unknown Pectobacterium,0.000701
Unknown Roseiflexus,0.001644
Unknown Zobellia,0.001731
Unknown Thioalkalivibrio,0.028731
Unknown Gloeocapsa,0.000571
Unknown Ruegeria,0.0035580000000000004
Unknown Glaciecola,0.06557
Unknown Natrinema,0.0036969999999999998
Unknown Modestobacter,0.0009110000000000001
Unknown Eggerthella,0.000705
Unknown Delftia,0.0010199999999999999
Unknown Unknown Comamonadaceae,0.131994
Unknown Hemiselmis,0.0038999999999999994
Unknown Halothece,0.001228
Unknown Rhodanobacter,0.001911
Unknown Ostreococcus,0.003585
Unknown Psychromonas,0.001968
Unknown Geitlerinema,0.00042200000000000007
Unknown Dehalobacter,0.000467
Unknown Pantoea,0.0007769999999999999
Unknown Pseudoalteromonas,0.031964000000000006
Unknown Polaromonas,0.0020429999999999997
Unknown Polaribacter,0.018428
Unknown Unknown Flavobacteriaceae,0.0011949999999999999
Unknown Candidatus Arthromitus,0.000386
Unknown Leptolyngbya,0.00047400000000000003
Unknown Microcoleus,0.000383
Unknown Paenibacillus,0.0010019999999999999
Unknown Cyanothece,0.0049250000000000006
Unknown Ascovirus,0.003288
Unknown Roseolovirus,0.000151
Unknown Methylophaga,0.01223
Unknown Asfivirus,2.2e-05
Unknown Micromonas,0.05006100000000001
Unknown Blattabacterium,0.014502999999999999
Unknown Cycloclasticus,0.22601000000000002
Unknown Exiguobacterium,0.000369
Unknown Thauera,0.004118
Unknown Coprococcus,0.000739
Unknown Thiomonas,0.0013329999999999998
Unknown Burkholderia,0.004897
Unknown Janthinobacterium,0.0012720000000000001
Unknown Photorhabdus,0.0006129999999999999
Unknown Unknown Unknown Caudovirales,0.000123
Unknown Sphingobacterium,0.000834
Unknown Marinomonas,0.0012
Unknown Geobacter,0.0025269999999999997
Unknown Unknown Unknown Unknown Betaproteobacteria,0.030513000000000005
Unknown Unknown Unknown Unknown Alphaproteobacteria,1.42429
Unknown Arcobacter,0.004162
Unknown Sphingomonas,0.0027989999999999994
Unknown Azoarcus,0.005226000000000001
Unknown Acidovorax,0.005255
Unknown Flavivirus,7.0e-06
Unknown Unknown Podoviridae,5.1e-05
Unknown Unknown Siphoviridae,0.010168
Unknown T4likevirus,0.021575000000000004
Unknown Unknown Myoviridae,0.034428
Unknown Unknown Phycodnaviridae,0.003352
Unknown Lymphocystivirus,0.001667
Unknown Ranavirus,0.000495
Unknown Chloriridovirus,0.002032
Unknown Iridovirus,0.000138
Unknown Bracovirus,0.00032
Unknown Ichnovirus,0.000126
Unknown Rhadinovirus,5.7e-05
