frequency	superkingdom	phylum	class	order	family	genus	species
0.001066	Bacteria	Proteobacteria	Betaproteobacteria	Unknown Betaproteobacteria	Unknown Unknown Betaproteobacteria	Candidatus Profftella	Unknown Candidatus Profftella
0.002719	Bacteria	Candidatus Saccharibacteria	Unknown Candidatus Saccharibacteria	Unknown Unknown Candidatus Saccharibacteria	Unknown Unknown Unknown Candidatus Saccharibacteria	Candidatus Saccharimonas	Unknown Candidatus Saccharimonas
5.5e-05	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Myoviridae	Viunalikevirus	Unknown Viunalikevirus
0.000928	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Salinarchaeum	Unknown Salinarchaeum
1.1e-05	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Myoviridae	PhiCD119likevirus	Unknown PhiCD119likevirus
1.3e-05	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Myoviridae	Felixounalikevirus	Unknown Felixounalikevirus
2.9e-05	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Myoviridae	Schizot4likevirus	Unknown Schizot4likevirus
2.2e-05	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Myoviridae	Twortlikevirus	Unknown Twortlikevirus
0.001323	Bacteria	Unknown Unknown Bacteria	Unknown Unknown Unknown Bacteria	Unknown Unknown Unknown Unknown Bacteria	Unknown Unknown Unknown Unknown Unknown Bacteria	Candidatus Methylomirabilis	Unknown Candidatus Methylomirabilis
0.000144	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Marseillevirus family	Unknown Marseillevirus family	Unknown Unknown Marseillevirus family
2.0e-06	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Siphoviridae	Spbetalikevirus	Unknown Spbetalikevirus
5.2e-05	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Myoviridae	Phikzlikevirus	Unknown Phikzlikevirus
0.000102	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Myoviridae	I3likevirus	Unknown I3likevirus
0.0	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Poxviridae	Cervidpoxvirus	Unknown Cervidpoxvirus
3.3e-05	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Pseudogulbenkiania	Unknown Pseudogulbenkiania
3.0e-06	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Baculoviridae	Gammabaculovirus	Unknown Gammabaculovirus
1.8e-05	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Baculoviridae	Betabaculovirus	Unknown Betabaculovirus
9.0e-06	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Baculoviridae	Alphabaculovirus	Unknown Alphabaculovirus
1.0e-06	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Herpesvirales	Herpesviridae	Percavirus	Unknown Percavirus
0.0	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Herpesvirales	Herpesviridae	Macavirus	Unknown Macavirus
0.000854	Bacteria	Synergistetes	Unknown Synergistetes	Unknown Unknown Synergistetes	Unknown Unknown Unknown Synergistetes	Unknown Unknown Unknown Unknown Synergistetes	Unknown Unknown Unknown Unknown Unknown Synergistetes
6.5e-05	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Chelativorans	Unknown Chelativorans
0.000976	Archaea	Euryarchaeota	Unknown Euryarchaeota	Unknown Unknown Euryarchaeota	Unknown Unknown Unknown Euryarchaeota	Aciduliprofundum	Unknown Aciduliprofundum
2.0e-05	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Unknown Nakaseomyces
9.0e-06	Bacteria	Cyanobacteria	Unknown Cyanobacteria	Nostocales	Rivulariaceae	Rivularia	Unknown Rivularia
1.1e-05	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Phycodnaviridae	Coccolithovirus	Unknown Coccolithovirus
0.030989	Archaea	Thaumarchaeota	Unknown Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	Unknown Nitrosopumilus
1.1e-05	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Caudovirales	Siphoviridae	N15likevirus	Unknown N15likevirus
4.9e-05	Viruses	Unknown Unknown Viruses	Unknown Unknown Unknown Viruses	Unknown Unknown Unknown Unknown Viruses	Iridoviridae	Megalocytivirus	Unknown Megalocytivirus
0.000298	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Krokinobacter	Unknown Krokinobacter
0.000193	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Pusillimonas	Unknown Pusillimonas
6.5e-05	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herminiimonas	Unknown Herminiimonas
2.8e-05	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Unknown Lachancea
0.000116	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lacinutrix	Unknown Lacinutrix
0.004439	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Sulfuricurvum	Unknown Sulfuricurvum
0.00372	Bacteria	Proteobacteria	Epsilonproteobacteria	Unknown Epsilonproteobacteria	Unknown Unknown Epsilonproteobacteria	Nitratiruptor	Unknown Nitratiruptor
