 ,Basic Statistics,Per base sequence quality,Per sequence quality scores,Per base sequence content,Per sequence GC content,Per base N content,Sequence Length Distribution,Sequence Duplication Levels,Overrepresented sequences,Adapter Content,Kmer Content
xie et al. (4143-1: SRR029255),pass,fail,pass,fail,warn,pass,warn,warn,fail,pass,warn
anderson et al. (hulk_cellular: mgm4481541.3),pass,fail,pass,fail,warn,pass,warn,pass,pass,fail,fail
anderson et al. (hulk_viral: mgm4448187.3),pass,fail,pass,fail,warn,pass,warn,pass,pass,pass,fail
lanzen et al. (trollveggen_vent_field: SRR653001),pass,fail,pass,fail,warn,pass,warn,pass,pass,pass,fail
tang et al. (shallow_G1: mgm4487624.3),pass,fail,pass,fail,warn,pass,warn,pass,pass,pass,warn
tang et al. (shallow_G2: mgm4487625.3),pass,fail,pass,fail,warn,pass,warn,pass,pass,pass,warn
nakai et al. (fryer: SRR016610),pass,fail,warn,fail,fail,warn,warn,fail,warn,pass,fail
lesniewski et al. (guaymas_basin_GD1: SRR488331),pass,fail,pass,fail,warn,pass,warn,pass,pass,pass,fail
lesniewski et al. (guaymas_basin_GD2: SRR488330),pass,fail,pass,fail,warn,pass,warn,pass,pass,pass,fail
perner et al. (sisters_peak: SRR363374),pass,fail,warn,fail,fail,pass,warn,warn,pass,pass,fail
perner et al. (sisters_peak: SRR363375),pass,fail,warn,fail,fail,pass,warn,warn,pass,pass,fail
cayman_rise_unpublished (beebe: SRR2046238),pass,pass,pass,pass,fail,pass,pass,fail,warn,pass,fail
cayman_rise_unpublished (beebe_near_bottom_background: SRR2046237),pass,pass,pass,pass,fail,pass,pass,fail,warn,pass,fail
cayman_rise_unpublished (von_damm_2041: SRR2046235),pass,pass,pass,pass,fail,pass,pass,fail,pass,pass,fail
cayman_rise_unpublished (von_damm_2238: SRR2046236),pass,pass,pass,pass,fail,pass,pass,fail,pass,pass,fail
anantharaman et al. (abe_100m: SRR1217460),pass,pass,pass,warn,pass,pass,pass,pass,pass,pass,fail
anantharaman et al. (abe_1m: SRR1217565),pass,pass,pass,pass,warn,pass,pass,warn,pass,pass,fail
anantharaman et al. (abe_near_bottom_background: SRR1217463),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
anantharaman et al. (kilo_moana_1m: SRR1217564),pass,pass,pass,warn,warn,pass,pass,fail,pass,pass,fail
anantharaman et al. (kilo_moana_200m: SRR1217459),pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,fail
anantharaman et al. (kilo_moana_60m: SRR1217367),pass,pass,pass,warn,pass,pass,pass,pass,pass,pass,pass
anantharaman et al. (mariner: SRR1217567),pass,pass,pass,pass,warn,pass,pass,fail,pass,pass,fail
anantharaman et al. (mariner_25m: SRR1217452),pass,pass,pass,warn,pass,pass,pass,warn,pass,pass,pass
anantharaman et al. (tahi_moana_1m: SRR1217465),pass,pass,pass,pass,fail,pass,pass,fail,warn,pass,fail
anantharaman et al. (tahi_moana_above_plume_background: SRR1217461),pass,pass,pass,warn,pass,pass,pass,warn,pass,pass,pass
anantharaman et al. (tui_malila_10m: SRR1217462),pass,pass,pass,warn,pass,pass,pass,pass,pass,pass,pass
stokke et al. (lokis_castle: SRR1653638),pass,fail,pass,fail,warn,fail,warn,fail,pass,pass,fail
stokke et al. (lokis_castle: SRR1653639),pass,fail,pass,fail,warn,fail,warn,pass,pass,pass,warn
stokke et al. (lokis_castle: SRR1653640),pass,fail,fail,fail,pass,pass,warn,pass,pass,pass,fail
stokke et al. (lokis_castle: SRR1653641),pass,fail,warn,fail,pass,pass,warn,pass,pass,pass,fail
axial_seamount_unpublished (anemone: ERR694114),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (anemone: ERR694113),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (anemone: ERR694112),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (anemone: ERR694111),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (anemone: ERR694110),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (anemone: ERR694115),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (anemone: ERR694116),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (anemone: ERR694117),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (anemone: ERR694118),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (anemone: ERR694119),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (anemone: ERR694120),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (anemone: ERR694121),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (anemone: ERR694123),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (anemone: ERR694124),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (anemone: ERR694125),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (anemone: ERR694126),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (dependable: ERR694373),pass,pass,pass,pass,fail,pass,pass,fail,warn,pass,fail
axial_seamount_unpublished (dependable: ERR694374),pass,pass,pass,pass,fail,pass,pass,fail,warn,pass,fail
axial_seamount_unpublished (dependable: ERR694375),pass,pass,pass,pass,fail,pass,pass,fail,warn,pass,fail
axial_seamount_unpublished (dependable: ERR694376),pass,pass,pass,pass,fail,pass,pass,fail,warn,pass,fail
axial_seamount_unpublished (elguapo: ERR694127),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694129),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694131),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694133),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694128),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694134),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694130),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694132),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694135),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694136),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694137),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694138),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694139),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694140),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,warn
axial_seamount_unpublished (elguapo: ERR694141),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694142),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694143),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694144),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694145),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694146),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694147),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694148),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694149),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694150),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694151),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694152),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: elguapotest),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694145_prinseq_good_HXGv),pass,pass,pass,warn,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (elguapo: ERR694145_prinseq_good_Jr8K),pass,pass,pass,warn,pass,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marker113: ERR694207),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marker113: ERR694208),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marker113: ERR694209),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marker113: ERR694210),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marker113: ERR694211),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marker113: ERR694212),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marker113: ERR694213),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marker33: ERR694199),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marker33: ERR694200),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marker33: ERR694201),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marker33: ERR694202),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marker33: ERR694203),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marker33: ERR694204),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marker33: ERR694205),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marker33: ERR694206),pass,pass,pass,warn,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marshmallow: ERR420344),pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marshmallow: ERR420345),pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marshmallow: ERR420346),pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marshmallow: ERR420347),pass,pass,pass,pass,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (marshmallow: ERR420348),pass,fail,pass,pass,fail,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (n3: ERR420353),pass,pass,pass,pass,warn,pass,pass,pass,pass,pass,fail
axial_seamount_unpublished (n3: ERR420354),pass,pass,pass,pass,warn,pass,pass,pass,pass,pass,fail
