Sequenzen	platform
181094744	illumina
168325584	illumina
169488288	illumina
174530426	illumina
118751402	illumina
157276514	illumina
185135248	illumina
154673072	illumina
186087990	illumina
181482188	illumina
187067650	illumina
111861214	illumina
29334350	illumina
198098190	illumina
49306508	illumina
19704797	illumina
27877926	illumina
11359656	illumina
374769904	illumina
364625048	illumina
338453662	illumina
318714354	illumina
808051	454
231246	454
637973	454
616464	454
640069	454
323700	454
875069	454
1500831	454
354647	454
453196	454
578567	454
