pfam	count
(pfam)	0
ABC transporter(PF00005)	5778087
Major Facilitator Superfamily(PF07690)	3560445
Binding-protein-dependent trans...(PF00528)	3467208
Capsid protein (F protein)(PF02305)	1515694
Ankyrin repeats (3 copies)(PF12796)	1020335
Sulfatase(PF00884)	954738
Envelope glycoprotein GP120(PF00516)	271729
Radical SAM superfamily(PF04055)	2251676
NADH-Ubiquinone/plastoquinone (...(PF00361)	1907710
AcrB/AcrD/AcrF family(PF00873)	2908369
AMP-binding enzyme(PF00501)	2316570
Bacteriophage replication gene ...(PF05840)	1133780
NAD dependent epimerase/dehydra...(PF01370)	2163233
Aldehyde dehydrogenase family(PF00171)	2355540
Aminotransferase class I and II...(PF00155)	2368499
Microvirus H protein (pilot pro...(PF04687)	1074336
tRNA synthetases class I (I, L,...(PF00133)	1975678
short chain dehydrogenase(PF00106)	1878763
Pyridoxal-phosphate dependent e...(PF00291)	1965159
Cytochrome C and Quinol oxidase...(PF00115)	1465070
Aminotransferase class-V(PF00266)	1757983
Pyridine nucleotide-disulphide ...(PF07992)	2097980
Elongation factor Tu GTP bindin...(PF00009)	1489549
Metallo-beta-lactamase superfam...(PF00753)	1368808
Aminotransferase class-III(PF00202)	1572205
Protein of unknown function (DU...(PF07394)	375644
Aconitase family (aconitate hyd...(PF00330)	1297740
TPR repeat(PF13414)	1002689
TCP-1/cpn60 chaperonin family(PF00118)	998197
DEAD/DEAH box helicase(PF00270)	1284495
Response regulator receiver dom...(PF00072)	1455148
Amino acid kinase family(PF00696)	1225110
Glutamine amidotransferase clas...(PF00117)	1359884
Major spike protein (G protein)...(PF02306)	635114
Histidine kinase-, DNA gyrase B...(PF02518)	1259106
Lyase(PF00206)	1064925
FAD dependent oxidoreductase(PF01266)	1530945
FAD binding domain(PF00890)	986091
DegT/DnrJ/EryC1/StrS aminotrans...(PF01041)	1084932
Helicase conserved C-terminal d...(PF00271)	985393
Hsp70 protein(PF00012)	973664
Protein kinase domain(PF00069)	608667
Enoyl-(Acyl carrier protein) re...(PF13561)	1024889
50S ribosome-binding GTPase(PF01926)	1090828
ATP synthase alpha/beta family,...(PF00006)	955710
DctM-like transporters(PF06808)	1134676
Amidase(PF01425)	923926
Bacteriophage scaffolding prote...(PF02925)	516052
Metallopeptidase family M24(PF00557)	1102838
Repeat domain in Vibrio, Colwel...(PF13517)	479241
Inorganic H+ pyrophosphatase(PF03030)	1059022
Carbamoyl-phosphate synthase L ...(PF02786)	947124
Nucleotidyl transferase(PF00483)	1033630
Branched-chain amino acid trans...(PF02653)	1044725
Ribonucleotide reductase, barre...(PF02867)	848540
Amidohydrolase family(PF01979)	987061
ATPase family associated with v...(PF00004)	886264
Glycosyl transferase family 2(PF00535)	957585
Sel1 repeat(PF08238)	704390
tRNA synthetases class II (D, K...(PF00152)	925770
Ammonium Transporter Family(PF00909)	674199
Subtilase family(PF00082)	648247
Phage integrase family(PF00589)	844133
Type II/IV secretion system pro...(PF00437)	455082
Isocitrate/isopropylmalate dehy...(PF00180)	803969
Dehydratase family(PF00920)	799300
Bacterial transferase hexapepti...(PF00132)	711293
Integrase core domain(PF00665)	690282
Sodium:solute symporter family(PF00474)	801356
UbiA prenyltransferase family(PF01040)	914091
Molybdopterin oxidoreductase(PF00384)	568906
AIR synthase related protein, C...(PF02769)	766997
Pentapeptide repeats (8 copies)...(PF00805)	558278
EPSP synthase (3-phosphoshikima...(PF00275)	795996
Carboxyl transferase domain(PF01039)	745834
IMP dehydrogenase / GMP reducta...(PF00478)	698200
Mur ligase middle domain(PF08245)	842992
Aldo/keto reductase family(PF00248)	825960
MORN repeat(PF02493)	953023
Tetrapyrrole (Corrin/Porphyrin)...(PF00590)	906338
Sulfatase-modifying factor enzy...(PF03781)	468022
Transketolase, pyrimidine bindi...(PF02779)	673590
tRNA synthetases class I (E and...(PF00749)	676174
tRNA synthetase class II core d...(PF00587)	699961
Enoyl-CoA hydratase/isomerase f...(PF00378)	718490
tRNA synthetases class I (W and...(PF00579)	729434
Glycine cleavage system P-prote...(PF02347)	740736
Penicillin binding protein tran...(PF00905)	833687
Cys/Met metabolism PLP-dependen...(PF01053)	918640
Alpha/beta hydrolase family(PF12697)	853764
Serine hydroxymethyltransferase...(PF00464)	648233
SRP54-type protein, GTPase doma...(PF00448)	590438
DNA gyrase/topoisomerase IV, su...(PF00521)	628393
Zinc-binding dehydrogenase(PF00107)	721230
Thiamine pyrophosphate enzyme, ...(PF02775)	622974
Histidine biosynthesis protein(PF00977)	659437
NADH dehydrogenase(PF00146)	580609
Citrate transporter(PF03600)	591066
Transketolase, thiamine diphosp...(PF00456)	705231
Reverse transcriptase (RNA-depe...(PF00078)	461241
Peptidase family M20/M25/M40(PF01546)	650089
Scaffold protein B(PF02304)	323703
Luciferase-like monooxygenase(PF00296)	488790
Glutamine synthetase, catalytic...(PF00120)	647206
Conserved region in glutamate s...(PF01645)	675848
Rhodanese-like domain(PF00581)	738788
Glycosyl transferases group 1(PF00534)	592219
HMGL-like(PF00682)	609370
3-octaprenyl-4-hydroxybenzoate ...(PF01977)	524293
Glucose / Sorbosone dehydrogena...(PF07995)	568556
Oxidoreductase family, NAD-bind...(PF01408)	377228
SPFH domain / Band 7 family(PF01145)	577970
Protein of unknown function (DU...(PF07583)	133140
Phosphoribosyl transferase doma...(PF00156)	584068
RNA polymerase Rpb2, domain 6(PF00562)	469098
Molybdopterin-binding domain of...(PF02738)	763415
DNA polymerase family A(PF00476)	587364
RNA pseudouridylate synthase(PF00849)	573664
Alcohol dehydrogenase GroES-lik...(PF08240)	582908
Phosphate transporter family(PF01384)	562135
WD domain, G-beta repeat(PF00400)	242022
Amidohydrolase(PF13147)	534009
Bacterial extracellular solute-...(PF00496)	591745
Polyprenyl synthetase(PF00348)	566421
AIR synthase related protein, N...(PF00586)	517132
CobQ/CobB/MinD/ParA nucleotide ...(PF01656)	576494
Sodium/hydrogen exchanger famil...(PF00999)	673279
NAD synthase(PF02540)	512933
pfkB family carbohydrate kinase...(PF00294)	627088
Elongation factor Tu domain 2(PF03144)	493297
Beta-ketoacyl synthase, N-termi...(PF00109)	565403
AhpC/TSA family(PF00578)	676265
Adenylosuccinate synthetase(PF00709)	548678
tRNA synthetases class I (M)(PF09334)	514006
Aminotransferase class IV(PF01063)	578760
MMPL family(PF03176)	691945
SIS domain(PF01380)	590679
Thiamine pyrophosphate enzyme, ...(PF02776)	577465
Aminomethyltransferase folate-b...(PF01571)	774194
Thiolase, N-terminal domain(PF00108)	538218
NUDIX domain(PF00293)	544225
Protein of unknown function (DU...(PF07587)	124219
Anticodon-binding domain of tRN...(PF08264)	570560
S1 RNA binding domain(PF00575)	524981
CBS domain(PF00571)	601577
SprB repeat(PF13573)	126653
Methylmalonyl-CoA mutase(PF01642)	444327
PKD domain(PF00801)	158481
Chorismate synthase(PF01264)	481707
Haloacid dehalogenase-like hydr...(PF13419)	685043
Citrate synthase(PF00285)	550398
Dihydroorotate dehydrogenase(PF01180)	482660
RecF/RecN/SMC N terminal domain...(PF02463)	585925
RNA polymerase Rpb1, domain 5(PF04998)	416055
Carbamoyl-phosphate synthase L ...(PF00289)	492546
AAA domain (Cdc48 subfamily)(PF07724)	480649
Nitrite and sulphite reductase ...(PF01077)	545271
Formyl transferase(PF00551)	518073
Histidinol dehydrogenase(PF00815)	519669
ABC transporter transmembrane r...(PF00664)	592128
tRNA synthetases class II (A)(PF01411)	491533
Acyl-CoA dehydrogenase, C-termi...(PF00441)	524994
Cell cycle protein(PF01098)	517833
HhH-GPD superfamily base excisi...(PF00730)	503637
Glutamine amidotransferases cla...(PF00310)	535605
Arginosuccinate synthase(PF00764)	422895
AAA domain(PF13304)	445124
D-isomer specific 2-hydroxyacid...(PF00389)	461192
Peptidase family M50(PF02163)	466117
chorismate binding enzyme(PF00425)	420964
Bacterial DNA polymerase III al...(PF07733)	395406
Aspartate/ornithine carbamoyltr...(PF00185)	420633
Sulfate transporter family(PF00916)	483616
recA bacterial DNA recombinatio...(PF00154)	374291
ThiC family(PF01964)	400235
Peptidase family M48(PF01435)	443791
PQQ-like domain(PF13360)	243428
ABC-2 type transporter(PF01061)	491183
Mechanosensitive ion channel(PF00924)	513908
Glycoprotease family(PF00814)	478050
Dihydrouridine synthase (Dus)(PF01207)	476320
Leucine rich repeat(PF13855)	264918
EamA-like transporter family(PF00892)	747555
Cytochrome C assembly protein(PF01578)	515616
CoA-ligase(PF00549)	395607
Glucose inhibited division prot...(PF01134)	404397
Protein export membrane protein...(PF02355)	507848
RF-1 domain(PF00472)	329175
Collagen triple helix repeat (2...(PF01391)	192558
MreB/Mbl protein(PF06723)	440940
Ketopantoate hydroxymethyltrans...(PF02548)	330310
CTP synthase N-terminus(PF06418)	408107
Pterin binding enzyme(PF00809)	383628
Cytidine and deoxycytidylate de...(PF00383)	382107
DAHP synthetase I family(PF00793)	450437
Respiratory-chain NADH dehydrog...(PF00346)	363769
HD domain(PF01966)	360285
Monomeric isocitrate dehydrogen...(PF03971)	351404
Enolase, C-terminal TIM barrel ...(PF00113)	407493
Transketolase, C-terminal domai...(PF02780)	374003
UvrD/REP helicase N-terminal do...(PF00580)	451839
SecY translocase(PF00344)	364974
CDP-alcohol phosphatidyltransfe...(PF01066)	441832
Flavoprotein(PF02441)	350434
AIR carboxylase(PF00731)	317894
Xylose isomerase-like TIM barre...(PF01261)	277170
Dihydrodipicolinate synthetase ...(PF00701)	387792
Uncharacterized protein family ...(PF01458)	308970
FAD binding domain (PF01565)	420317
Cytidylyltransferase(PF01467)	387068
Leucine Rich repeats (2 copies)...(PF12799)	177604
DNA topoisomerase(PF01131)	363133
GatB/GatE catalytic domain(PF02934)	397177
Cytochrome b(N-terminal)/b6/pet...(PF13631)	335662
GcpE protein(PF04551)	369953
Polysaccharide biosynthesis pro...(PF02719)	388426
Sigma-54 interaction domain(PF00158)	323245
UvrD-like helicase C-terminal d...(PF13361)	467662
Homocysteine S-methyltransferas...(PF02574)	411177
tRNA synthetases class I (R)(PF00750)	414905
