pfam	count
ABC transporter(PF00005)	2025881
Aminotransferase class I and II...(PF00155)	950673
Pyridine nucleotide-disulphide ...(PF07992)	854739
AcrB/AcrD/AcrF family(PF00873)	830452
Radical SAM superfamily(PF04055)	820428
Major Facilitator Superfamily(PF07690)	880337
tRNA synthetases class I (I, L,...(PF00133)	766709
Binding-protein-dependent trans...(PF00528)	799868
Elongation factor Tu GTP bindin...(PF00009)	741808
NAD dependent epimerase/dehydra...(PF01370)	731697
AMP-binding enzyme(PF00501)	761264
Aldehyde dehydrogenase family(PF00171)	732605
Pyridoxal-phosphate dependent e...(PF00291)	640318
DEAD/DEAH box helicase(PF00270)	582607
Aminotransferase class-V(PF00266)	570896
Aminotransferase class-III(PF00202)	553906
Glutamine amidotransferase clas...(PF00117)	499181
Response regulator receiver dom...(PF00072)	573148
NADH-Ubiquinone/plastoquinone (...(PF00361)	476035
Histidine kinase-, DNA gyrase B...(PF02518)	551489
short chain dehydrogenase(PF00106)	531762
Hsp70 protein(PF00012)	459589
50S ribosome-binding GTPase(PF01926)	432449
Amino acid kinase family(PF00696)	418025
Aconitase family (aconitate hyd...(PF00330)	418973
Nucleotidyl transferase(PF00483)	406880
Helicase conserved C-terminal d...(PF00271)	403174
Molybdopterin oxidoreductase(PF00384)	371318
ATPase family associated with v...(PF00004)	396657
tRNA synthetases class II (D, K...(PF00152)	386066
FAD binding domain(PF00890)	370053
Metallo-beta-lactamase superfam...(PF00753)	388120
ATP synthase alpha/beta family,...(PF00006)	377366
DegT/DnrJ/EryC1/StrS aminotrans...(PF01041)	365547
Cytochrome C and Quinol oxidase...(PF00115)	352002
FAD dependent oxidoreductase(PF01266)	382662
Sulfatase(PF00884)	440969
EPSP synthase (3-phosphoshikima...(PF00275)	326817
Lyase(PF00206)	333133
DNA gyrase/topoisomerase IV, su...(PF00521)	339488
Mur ligase middle domain(PF08245)	325597
TCP-1/cpn60 chaperonin family(PF00118)	345922
Carbamoyl-phosphate synthase L ...(PF02786)	326887
Enoyl-(Acyl carrier protein) re...(PF13561)	330368
Glycosyl transferase family 2(PF00535)	331875
tRNA synthetase class II core d...(PF00587)	305445
Ribonucleotide reductase, barre...(PF02867)	310161
tRNA synthetases class I (W and...(PF00579)	290667
tRNA synthetases class I (E and...(PF00749)	279266
Transketolase, thiamine diphosp...(PF00456)	272936
RNA polymerase Rpb2, domain 6(PF00562)	271645
RNA pseudouridylate synthase(PF00849)	263033
AIR synthase related protein, C...(PF02769)	274946
Rhodanese-like domain(PF00581)	263197
Penicillin binding protein tran...(PF00905)	273272
Metallopeptidase family M24(PF00557)	275487
S1 RNA binding domain(PF00575)	268955
RNA polymerase Rpb1, domain 5(PF04998)	253121
Glycine cleavage system P-prote...(PF02347)	268338
Bacterial transferase hexapepti...(PF00132)	256773
AhpC/TSA family(PF00578)	252365
Amidase(PF01425)	268025
tRNA synthetases class II (A)(PF01411)	255026
Inorganic H+ pyrophosphatase(PF03030)	258338
AAA domain (Cdc48 subfamily)(PF07724)	254592
Dehydratase family(PF00920)	247613
Cys/Met metabolism PLP-dependen...(PF01053)	255549
HMGL-like(PF00682)	252789
Carboxyl transferase domain(PF01039)	276878
Elongation factor Tu domain 2(PF03144)	240734
Tetrapyrrole (Corrin/Porphyrin)...(PF00590)	233896
Monomeric isocitrate dehydrogen...(PF03971)	216231
Amidohydrolase family(PF01979)	247319
Ammonium Transporter Family(PF00909)	223781
Isocitrate/isopropylmalate dehy...(PF00180)	240539
Glutamine amidotransferases cla...(PF00310)	222998
Branched-chain amino acid trans...(PF02653)	269801
Protein kinase domain(PF00069)	288365
Integrase core domain(PF00665)	210375
Type II/IV secretion system pro...(PF00437)	257429
tRNA synthetases class I (M)(PF09334)	229306
CobQ/CobB/MinD/ParA nucleotide ...(PF01656)	233759
Histidine biosynthesis protein(PF00977)	215414
UvrD/REP helicase N-terminal do...(PF00580)	221290
Glycosyl transferases group 1(PF00534)	252209
Haloacid dehalogenase-like hydr...(PF13419)	212959
pfkB family carbohydrate kinase...(PF00294)	220001
Conserved region in glutamate s...(PF01645)	208584
DAHP synthetase I family(PF00793)	213895
Sel1 repeat(PF08238)	204754
CBS domain(PF00571)	220673
Thiamine pyrophosphate enzyme, ...(PF02775)	226512
SRP54-type protein, GTPase doma...(PF00448)	208004
Transketolase, pyrimidine bindi...(PF02779)	223284
IMP dehydrogenase / GMP reducta...(PF00478)	216012
chorismate binding enzyme(PF00425)	205796
Phage integrase family(PF00589)	238334
UvrD-like helicase C-terminal d...(PF13361)	207662
Peptidase family M20/M25/M40(PF01546)	220733
Phosphoribosyl transferase doma...(PF00156)	207135
AIR synthase related protein, N...(PF00586)	202488
Beta-ketoacyl synthase, N-termi...(PF00109)	209856
Aminotransferase class IV(PF01063)	198225
TPR repeat(PF13414)	221944
MMPL family(PF03176)	196533
NAD synthase(PF02540)	201162
Glucose inhibited division prot...(PF01134)	193753
Glutamine synthetase, catalytic...(PF00120)	206078
Bacterial DNA polymerase III al...(PF07733)	205165
Serine hydroxymethyltransferase...(PF00464)	200212
Histidyl-tRNA synthetase(PF13393)	191221
ABC transporter transmembrane r...(PF00664)	204709
Formyl transferase(PF00551)	192394
UbiA prenyltransferase family(PF01040)	194307
Enoyl-CoA hydratase/isomerase f...(PF00378)	255059
Polyprenyl synthetase(PF00348)	192589
SIS domain(PF01380)	190341
DNA topoisomerase(PF01131)	195796
Anticodon-binding domain of tRN...(PF08264)	193892
Citrate transporter(PF03600)	183087
Exonuclease(PF00929)	182016
Adenylosuccinate synthetase(PF00709)	186184
Alpha/beta hydrolase family(PF12697)	229202
Bacterial extracellular solute-...(PF00496)	206688
Aminomethyltransferase folate-b...(PF01571)	190058
Phosphoglycerate kinase(PF00162)	185767
Cell cycle protein(PF01098)	185630
Sodium/hydrogen exchanger famil...(PF00999)	168240
Peptidase family M48(PF01435)	179294
Dihydrouridine synthase (Dus)(PF01207)	176858
Carbamoyl-phosphate synthase L ...(PF00289)	189148
Histidinol dehydrogenase(PF00815)	172730
Polysaccharide biosynthesis pro...(PF02719)	164124
Glycoprotease family(PF00814)	181331
Dihydroorotate dehydrogenase(PF01180)	178474
Pterin binding enzyme(PF00809)	174952
RecF/RecN/SMC N terminal domain...(PF02463)	195312
Mycoplasma protein of unknown f...(PF03382)	121972
DctM-like transporters(PF06808)	171986
NUDIX domain(PF00293)	183413
Arginosuccinate synthase(PF00764)	166765
ThiC family(PF01964)	163738
Inositol monophosphatase family...(PF00459)	171305
SecY translocase(PF00344)	170026
RNA polymerase Rpb1, domain 1(PF04997)	168519
DNA polymerase family A(PF00476)	176838
Citrate synthase(PF00285)	170058
3-octaprenyl-4-hydroxybenzoate ...(PF01977)	158378
Glycosyl transferase family, a/...(PF00591)	167041
NADH dehydrogenase(PF00146)	167443
Thiamine pyrophosphate enzyme, ...(PF02776)	175427
AAA domain(PF13304)	180397
RNA polymerase beta subunit(PF04563)	163006
Protein export membrane protein...(PF02355)	161662
FAD linked oxidases, C-terminal...(PF02913)	160032
Nitrite and sulphite reductase ...(PF01077)	154917
recA bacterial DNA recombinatio...(PF00154)	165803
Cytochrome C assembly protein(PF01578)	156574
SpoU rRNA Methylase family(PF00588)	159658
SPFH domain / Band 7 family(PF01145)	167355
Chorismate synthase(PF01264)	154786
FAD binding domain(PF01494)	165220
Glycyl-tRNA synthetase beta sub...(PF02092)	147445
Cysteine-rich domain(PF02754)	155576
Calcineurin-like phosphoesteras...(PF00149)	157981
HD domain(PF01966)	167365
MreB/Mbl protein(PF06723)	159409
tRNA synthetases class I (R)(PF00750)	154221
tRNA synthetases class I (C) ca...(PF01406)	155679
Toprim domain(PF01751)	155532
