pfam	count
ABC transporter(PF00005)	189659
Major Facilitator Superfamily(PF07690)	155882
Binding-protein-dependent trans...(PF00528)	112232
NADH-Ubiquinone/plastoquinone (...(PF00361)	104865
Capsid protein (F protein)(PF02305)	104289
Radical SAM superfamily(PF04055)	89601
Ankyrin repeats (3 copies)(PF12796)	87403
tRNA synthetases class I (I, L,...(PF00133)	85837
Cytochrome C and Quinol oxidase...(PF00115)	85136
AcrB/AcrD/AcrF family(PF00873)	82370
Pyridine nucleotide-disulphide ...(PF07992)	80497
Aminotransferase class I and II...(PF00155)	79720
Bacteriophage replication gene ...(PF05840)	78515
Pyridoxal-phosphate dependent e...(PF00291)	76830
Microvirus H protein (pilot pro...(PF04687)	74776
NAD dependent epimerase/dehydra...(PF01370)	73838
AMP-binding enzyme(PF00501)	72928
Elongation factor Tu GTP bindin...(PF00009)	69385
Aldehyde dehydrogenase family(PF00171)	68480
Aminotransferase class-V(PF00266)	65047
short chain dehydrogenase(PF00106)	64648
Aminotransferase class-III(PF00202)	60569
TCP-1/cpn60 chaperonin family(PF00118)	57201
Amino acid kinase family(PF00696)	56185
Aconitase family (aconitate hyd...(PF00330)	54447
Nitrite and sulphite reductase ...(PF01077)	53327
Ribonucleotide reductase, barre...(PF02867)	51533
Glutamine amidotransferase clas...(PF00117)	51105
Hsp70 protein(PF00012)	50084
DEAD/DEAH box helicase(PF00270)	49831
Inorganic H+ pyrophosphatase(PF03030)	47147
Metallo-beta-lactamase superfam...(PF00753)	46776
DNA polymerase family A(PF00476)	45259
50S ribosome-binding GTPase(PF01926)	45037
Major spike protein (G protein)...(PF02306)	44368
Sulfatase(PF00884)	44263
Helicase conserved C-terminal d...(PF00271)	44041
Lyase(PF00206)	43380
Sel1 repeat(PF08238)	42731
Metallopeptidase family M24(PF00557)	42178
FAD binding domain(PF00890)	41152
Amidohydrolase family(PF01979)	40988
TPR repeat(PF13414)	40192
Nucleotidyl transferase(PF00483)	40122
ATP synthase alpha/beta family,...(PF00006)	39571
UbiA prenyltransferase family(PF01040)	37788
ATPase family associated with v...(PF00004)	37607
Carbamoyl-phosphate synthase L ...(PF02786)	37548
Tetrapyrrole (Corrin/Porphyrin)...(PF00590)	37266
DegT/DnrJ/EryC1/StrS aminotrans...(PF01041)	37253
Histidine kinase-, DNA gyrase B...(PF02518)	36409
Bacteriophage scaffolding prote...(PF02925)	36325
Dehydratase family(PF00920)	35770
Response regulator receiver dom...(PF00072)	35479
FAD dependent oxidoreductase(PF01266)	34675
AIR synthase related protein, C...(PF02769)	34583
