taxon,frequency
PF00005,313943
PF07690,255596
PF00528,196392
PF02305,167759
PF12796,154096
PF00516,143708
PF00884,140987
PF04055,133372
PF00361,132811
PF00873,130810
PF00501,129571
PF05840,126635
PF01370,122019
PF00171,121432
PF00155,119525
PF04687,119342
PF00133,119092
PF00106,117170
PF00291,115122
PF00115,105384
PF00266,101267
PF07992,100166
PF00009,95740
PF00753,91746
PF00202,89012
PF07394,85186
PF00330,76694
PF13414,75576
PF00118,75337
PF00270,74545
PF00072,72824
PF00696,72143
PF00117,71956
PF02306,70738
PF02518,67532
PF00206,66237
PF01266,65775
PF00890,63139
PF01041,62925
PF00271,62452
PF00012,60874
PF00069,60805
PF13561,60418
PF01926,59507
PF00006,59428
PF06808,58887
PF01425,57910
PF02925,57787
PF00557,57474
PF13517,56655
PF03030,55697
PF02786,54679
PF00483,54108
PF02653,53985
PF02867,53944
PF01979,53927
PF00004,53078
PF00535,51048
PF08238,50959
PF00152,50609
PF00909,47858
PF00082,47526
PF00589,47171
PF00437,46013
PF00180,45730
PF00920,45540
PF00132,45137
PF00665,44906
PF00474,44875
PF01040,44693
PF00384,44460
PF02769,44002
PF00805,43547
PF00275,43453
PF00478,42865
PF01039,42864
PF08245,41975
PF00248,41543
PF02493,41209
PF00590,40827
PF03781,40241
PF02779,40141
PF00749,40024
PF00587,39949
PF00378,39454
PF00579,39406
PF02347,39385
PF00905,38451
PF01053,37485
PF12697,37406
PF00464,37250
PF00448,37201
PF00521,37154
PF00107,37132
PF02775,36986
PF00977,36905
PF00146,36730
PF02304,36499
PF03600,36460
PF00456,36404
PF00078,36165
PF01546,36014
PF00296,35422
PF00120,35287
PF01645,34953
PF00581,34945
PF00534,34362
PF00682,34313
PF01977,33721
PF07995,33100
PF01408,32925
PF01145,32496
PF07583,32372
PF00156,32238
PF00562,32190
PF02738,32120
PF00476,32071
PF00849,32037
PF08240,31924
PF01384,31646
PF00400,31618
PF13147,31538
PF00496,31484
PF00348,31456
PF00586,31319
PF01656,31301
PF00999,31257
PF02540,31008
PF00294,30755
PF03144,30704
PF00109,30570
PF00578,30534
PF00709,30390
PF09334,30359
PF01063,30244
PF03176,30167
PF01380,30150
PF02776,30072
PF01571,29694
PF00108,29462
PF00293,29315
PF07587,29266
PF08264,29168
PF00575,28976
