pfam	count
Major Facilitator Superfamily(PF07690)	6711
Sugar (and other) transporter(PF00083)	5999
Sodium:dicarboxylate symporter ...(PF00375)	2702
Bacterial extracellular solute-...(PF13416)	2025
Radical SAM superfamily(PF04055)	1486
tRNA synthetases class I (E and...(PF00749)	700
FKBP-type peptidyl-prolyl cis-t...(PF00254)	699
Mechanosensitive ion channel po...(PF12795)	604
Amidohydrolase family(PF01979)	562
Histidine kinase-, DNA gyrase B...(PF02518)	554
Phosphoglucomutase/phosphomanno...(PF02879)	504
TonB dependent receptor(PF00593)	432
Phosphoglucomutase/phosphomanno...(PF02880)	358
Zinc-binding dehydrogenase(PF00107)	294
MobA/MobL family(PF03389)	244
Homocysteine S-methyltransferas...(PF02574)	231
Subtilase family(PF00082)	231
Periplasmic binding protein(PF13458)	224
Domain of unknown function (DUF...(PF08967)	222
AcrB/AcrD/AcrF family(PF00873)	203
CobD/Cbib protein(PF03186)	198
ABC transporter(PF00005)	195
Y_Y_Y domain(PF07495)	187
Bacterial regulatory helix-turn...(PF00126)	183
short chain dehydrogenase(PF00106)	150
Zonular occludens toxin (Zot)(PF05707)	145
Asparaginase(PF00710)	133
Tripartite tricarboxylate trans...(PF03401)	132
Conjugal transfer protein TraD(PF06412)	118
Ribosomal protein L18e/L15(PF00828)	114
TonB-dependent Receptor Plug Do...(PF07715)	108
Rieske [2Fe-2S] domain(PF00355)	99
LysR substrate binding domain(PF03466)	95
Protein export membrane protein...(PF02355)	88
Bacterial extracellular solute-...(PF13531)	86
Aldehyde dehydrogenase family(PF00171)	85
AMP-binding enzyme(PF00501)	84
Thiamine pyrophosphate enzyme, ...(PF00205)	83
Replication initiation factor(PF02486)	81
Binding-protein-dependent trans...(PF00528)	79
KaiC(PF06745)	78
Pyridine nucleotide-disulphide ...(PF07992)	78
His Kinase A (phospho-acceptor)...(PF00512)	74
Phosphoribosyl transferase doma...(PF00156)	69
Sulfate transporter N-terminal ...(PF13792)	68
Outer membrane lipoprotein(PF13525)	68
MatE(PF01554)	66
Firmicute plasmid replication p...(PF05732)	64
Cytochrome oxidase subunit II(PF02322)	61
alpha/beta hydrolase fold(PF00561)	60
Ribosome recycling factor(PF01765)	55
Replicase family(PF03090)	55
Enoyl-(Acyl carrier protein) re...(PF13561)	53
Phosphoenolpyruvate-dependent s...(PF00359)	53
Ribosomal protein S2(PF00318)	52
Glucose-6-phosphate dehydrogena...(PF02781)	52
Glutamine amidotransferases cla...(PF00310)	52
50S ribosome-binding GTPase(PF01926)	50
Gram-negative porin(PF13609)	49
CDP-alcohol phosphatidyltransfe...(PF01066)	49
Elongation factor Tu GTP bindin...(PF00009)	47
Flagellar FliJ protein(PF02050)	47
Aminotransferase class I and II...(PF00155)	47
Helix-turn-helix(PF01381)	44
Branched-chain amino acid ATP-b...(PF12399)	43
SpoU rRNA Methylase family(PF00588)	43
AAA domain(PF13304)	43
Cytochrome C assembly protein(PF01578)	41
HTH domain(PF08279)	41
Outer membrane efflux protein(PF02321)	38
Response regulator receiver dom...(PF00072)	38
Glyoxalase-like domain(PF12681)	37
HpcH/HpaI aldolase/citrate lyas...(PF03328)	36
MFS/sugar transport protein(PF13347)	35
ATP cone domain(PF03477)	35
Integrase core domain(PF00665)	33
PQQ-like domain(PF13360)	33
Oxidoreductase NAD-binding doma...(PF00175)	33
Cytochrome C and Quinol oxidase...(PF00115)	33
Antibiotic biosynthesis monooxy...(PF03992)	32
Branched-chain amino acid trans...(PF02653)	32
Predicted metal-dependent hydro...(PF10118)	32
Enoyl-CoA hydratase/isomerase f...(PF00378)	30
Endonuclease/Exonuclease/phosph...(PF03372)	30
Flagellar hook-associated prote...(PF07195)	30
PDZ domain(PF13180)	28
NMT1/THI5 like(PF09084)	28
Domain of unknown function DUF2...(PF01594)	27
Bacterial protein of unknown fu...(PF05960)	26
Acyl-CoA dehydrogenase, C-termi...(PF00441)	25
Acyltransferase family(PF01757)	25
Methyl-accepting chemotaxis pro...(PF00015)	25
NAD dependent epimerase/dehydra...(PF01370)	24
Fumarate hydratase (Fumerase)(PF05681)	24
Aldo/keto reductase family(PF00248)	24
Alpha-2-macroglobulin family N-...(PF07703)	23
Aminotransferase class-V(PF00266)	23
Type II secretion system (T2SS)...(PF00482)	23
GGDEF domain(PF00990)	23
Ribonucleotide reductase, barre...(PF02867)	22
Methyltransferase domain(PF13489)	21
Aconitase family (aconitate hyd...(PF00330)	21
Oxidoreductase FAD-binding doma...(PF00970)	21
Amino acid permease(PF00324)	20
DEAD/DEAH box helicase(PF00270)	20
Protein of unknown function (DU...(PF08811)	20
ChrR Cupin-like domain(PF12973)	20
ARD/ARD' family(PF03079)	20
3-octaprenyl-4-hydroxybenzoate ...(PF01977)	20
CoA-transferase family III(PF02515)	19
Glycerophosphoryl diester phosp...(PF03009)	19
Phosphoribosylglycinamide synth...(PF01071)	19
HemN C-terminal domain(PF06969)	19
alpha/beta hydrolase fold(PF07859)	19
Aminotransferase class-III(PF00202)	19
Monomeric isocitrate dehydrogen...(PF03971)	19
Enolase C-terminal domain-like(PF13378)	19
Sodium/hydrogen exchanger famil...(PF00999)	19
AIR synthase related protein, N...(PF00586)	18
Periplasmic copper-binding prot...(PF05048)	18
Glycosyl transferases group 1(PF00534)	18
Elongation factor G C-terminus(PF00679)	18
PDZ domain (Also known as DHR o...(PF00595)	18
Hsp70 protein(PF00012)	18
UvrD-like helicase C-terminal d...(PF13361)	18
Helicase conserved C-terminal d...(PF00271)	18
CBS domain(PF00571)	18
FAD dependent oxidoreductase(PF01266)	18
MotA/TolQ/ExbB proton channel f...(PF01618)	18
OmpA family(PF00691)	17
Phosphoglucose isomerase(PF00342)	17
Virulence factor BrkB(PF03631)	17
3' exoribonuclease family, doma...(PF01138)	17
Fumarylacetoacetate (FAA) hydro...(PF01557)	17
Acyltransferase(PF01553)	17
EAL domain(PF00563)	17
haloacid dehalogenase-like hydr...(PF00702)	17
HlyD family secretion protein(PF13437)	17
Outer membrane protein transpor...(PF03349)	16
Serine carboxypeptidase(PF00450)	16
Bacterial extracellular solute-...(PF13343)	16
