pfam	count
Initiator Replication protein(PF01051)	27522
MCM2/3/5 family(PF00493)	2521
Relaxase/Mobilisation nuclease ...(PF03432)	2027
Protein of unknown function (DU...(PF10387)	1880
Bacterial mobilisation protein ...(PF05713)	1546
Plasmid recombination enzyme(PF01076)	1422
Bacterial regulatory proteins, ...(PF00392)	941
Toprim-like(PF13155)	899
Bifunctional DNA primase/polyme...(PF09250)	578
C-5 cytosine-specific DNA methy...(PF00145)	540
UvrD/REP helicase N-terminal do...(PF00580)	534
Probable transposase(PF01385)	492
AAA domain(PF13481)	439
UvrD-like helicase C-terminal d...(PF13361)	427
ABC transporter(PF00005)	370
Pyridine nucleotide-disulphide ...(PF07992)	365
Putative transposase DNA-bindin...(PF07282)	359
Sel1 repeat(PF08238)	344
Integrase(PF12835)	343
Beta-lactamase enzyme family(PF13354)	291
DNA methylase(PF01555)	282
Subtilase family(PF00082)	282
DnaB-like helicase C terminal d...(PF03796)	272
Domain of unknown function (DUF...(PF09985)	240
HhH-GPD superfamily base excisi...(PF00730)	226
Domain of unknown function (DUF...(PF08960)	199
Type II restriction endonucleas...(PF09520)	187
von Willebrand factor type A do...(PF13519)	180
Ribbon-helix-helix protein, cop...(PF01402)	174
Transposase, Mutator family(PF00872)	174
Protein of unknown function (DU...(PF10049)	136
TROVE domain(PF05731)	134
Envelope glycoprotein GP120(PF00516)	132
AAA domain(PF13304)	121
Phage integrase family(PF00589)	121
DEAD/DEAH box helicase(PF00270)	121
PIN domain(PF13470)	114
Resolvase, N terminal domain(PF00239)	100
Major Facilitator Superfamily(PF07690)	99
Acetyltransferase (GNAT) family...(PF00583)	97
Beta-lactamase(PF00144)	88
CobQ/CobB/MinD/ParA nucleotide ...(PF01656)	86
Nucleotidyltransferase domain(PF01909)	86
RHS Repeat(PF05593)	85
Integrase core domain(PF00665)	84
Type II restriction endonucleas...(PF14511)	80
Part of AAA domain(PF13245)	75
Molybdopterin guanine dinucleot...(PF03205)	74
Type IV secretion-system coupli...(PF10412)	71
Capsid protein (F protein)(PF02305)	61
Fibronectin type III domain(PF00041)	58
Methyltransferase domain(PF13659)	55
Plasmid stabilisation system pr...(PF05016)	51
Helix-turn-helix domain(PF12323)	46
ATPase family associated with v...(PF00004)	46
Response regulator receiver dom...(PF00072)	44
Radical SAM superfamily(PF04055)	42
N-6 DNA Methylase(PF02384)	41
Helix-turn-helix(PF01381)	41
RecF/RecN/SMC N terminal domain...(PF02463)	41
AcrB/AcrD/AcrF family(PF00873)	39
Elongation factor Tu GTP bindin...(PF00009)	38
tRNA synthetases class I (I, L,...(PF00133)	37
Histidine kinase-, DNA gyrase B...(PF02518)	35
ParA/MinD ATPase like(PF10609)	35
Methyl-accepting chemotaxis pro...(PF00015)	32
Uncharacterised protein family ...(PF03681)	32
AAA domain(PF13086)	32
Toprim domain(PF13662)	32
Transposase IS200 like(PF01797)	32
Molybdopterin oxidoreductase(PF00384)	30
Putative transposase, YhgA-like...(PF04754)	29
NAD dependent epimerase/dehydra...(PF01370)	27
50S ribosome-binding GTPase(PF01926)	26
AAA domain (Cdc48 subfamily)(PF07724)	25
DHH family(PF01368)	25
tRNA synthetases class II (D, K...(PF00152)	24
Regulator of chromosome condens...(PF13540)	24
Tubulin/FtsZ family, GTPase dom...(PF00091)	24
Metallo-beta-lactamase superfam...(PF00753)	23
Aldehyde dehydrogenase family(PF00171)	23
Glycosyl transferase family 2(PF00535)	23
ATP synthase alpha/beta family,...(PF00006)	22
D12 class N6 adenine-specific D...(PF02086)	22
Na+/H+ antiporter 1(PF06965)	22
Amidohydrolase family(PF01979)	21
Transposase(PF01527)	21
tRNA synthetase class II core d...(PF00587)	20
HD domain(PF01966)	20
short chain dehydrogenase(PF00106)	19
TCP-1/cpn60 chaperonin family(PF00118)	19
Nucleotidyl transferase(PF00483)	19
Elongation factor Tu domain 2(PF03144)	19
ParB-like nuclease domain(PF02195)	19
AAA domain(PF13614)	19
NADH-Ubiquinone/plastoquinone (...(PF00361)	19
Aminotransferase class-V(PF00266)	19
Copper amine oxidase N-terminal...(PF07833)	19
KaiC(PF06745)	19
Integrase core domain(PF13683)	18
AhpC/TSA family(PF00578)	18
SRP54-type protein, GTPase doma...(PF00448)	18
Transketolase, C-terminal domai...(PF02780)	18
MobA/MobL family(PF03389)	18
Pyridoxal-phosphate dependent e...(PF00291)	18
Enoyl-(Acyl carrier protein) re...(PF13561)	18
Aldehyde ferredoxin oxidoreduct...(PF01314)	18
Type II/IV secretion system pro...(PF00437)	18
Glycosyl transferases group 1(PF00534)	17
Pyruvate flavodoxin/ferredoxin ...(PF01855)	17
Aminotransferase class I and II...(PF00155)	17
Replication protein(PF01446)	17
AIR synthase related protein, C...(PF02769)	17
Mur ligase middle domain(PF08245)	16
CHC2 zinc finger(PF01807)	16
Bacterial transferase hexapepti...(PF00132)	16
ATP-grasp domain(PF08442)	16
Aconitase family (aconitate hyd...(PF00330)	16
DNA polymerase family B(PF00136)	16
MutS domain V(PF00488)	16
NUDIX domain(PF00293)	15
FAD dependent oxidoreductase(PF01266)	15
Glycine cleavage system P-prote...(PF02347)	15
Peptidase family M20/M25/M40(PF01546)	15
Pyruvate ferredoxin/flavodoxin ...(PF01558)	15
Anticodon-binding domain of tRN...(PF08264)	15
Sodium/hydrogen exchanger famil...(PF00999)	15
Thi4 family(PF01946)	15
TPR repeat(PF13414)	15
Pyridoxal-dependent decarboxyla...(PF02784)	15
TonB dependent receptor(PF00593)	15
Bacterial dnaA  protein(PF00308)	14
Ribonucleotide reductase, barre...(PF02867)	14
Metallopeptidase family M24(PF00557)	14
DNA topoisomerase(PF01131)	14
Isocitrate/isopropylmalate dehy...(PF00180)	14
Respiratory-chain NADH dehydrog...(PF00346)	14
CRISPR associated protein Cas2(PF09827)	14
Domain of unknown function (DUF...(PF13711)	14
Prolyl oligopeptidase family(PF00326)	14
Toprim domain(PF01751)	13
PP-loop family(PF01171)	13
CheW-like domain(PF01584)	13
Binding-protein-dependent trans...(PF00528)	13
Protein kinase domain(PF00069)	13
Aminotransferase class-III(PF00202)	13
Bacterial extracellular solute-...(PF00496)	13
Ankyrin repeats (3 copies)(PF12796)	13
Amino acid kinase family(PF00696)	13
Glutamine amidotransferase clas...(PF00117)	12
UDP-N-acetylglucosamine 2-epime...(PF02350)	12
Transglycosylase SLT domain(PF01464)	12
tRNA synthetases class I (R)(PF00750)	12
Pyridine nucleotide-disulphide ...(PF02852)	12
Archaeal ATPase(PF01637)	12
Type III restriction enzyme, re...(PF04851)	12
HTH-like domain(PF13276)	12
Penicillin binding protein tran...(PF00905)	12
IMP dehydrogenase / GMP reducta...(PF00478)	12
DNA gyrase/topoisomerase IV, su...(PF00521)	12
DegT/DnrJ/EryC1/StrS aminotrans...(PF01041)	12
Serine hydroxymethyltransferase...(PF00464)	11
Beta-Casp domain(PF10996)	11
Alpha amylase, catalytic domain...(PF00128)	11
Transposase DDE domain(PF01609)	11
Transketolase, pyrimidine bindi...(PF02779)	11
IstB-like ATP binding protein(PF01695)	11
Domain of unknown function (DUF...(PF13635)	11
Pyrimidine nucleoside phosphory...(PF07831)	11
Beta-lactamase superfamily doma...(PF12706)	11
tRNA synthetases class I (M)(PF09334)	11
Ferritin-like domain(PF00210)	11
tRNA synthetases class II (A)(PF01411)	11
Antidote-toxin recognition MazE...(PF04014)	10
Phage derived protein Gp49-like...(PF05973)	10
