pfam	count
ABC transporter(PF00005)	841411
Binding-protein-dependent trans...(PF00528)	615166
AMP-binding enzyme(PF00501)	352711
Major Facilitator Superfamily(PF07690)	335619
Aldehyde dehydrogenase family(PF00171)	325021
FAD dependent oxidoreductase(PF01266)	320134
NAD dependent epimerase/dehydra...(PF01370)	316917
Radical SAM superfamily(PF04055)	247150
Aminotransferase class I and II...(PF00155)	233124
Pyridoxal-phosphate dependent e...(PF00291)	232567
Branched-chain amino acid trans...(PF02653)	224046
DctM-like transporters(PF06808)	218802
Aminotransferase class-V(PF00266)	210347
Pyridine nucleotide-disulphide ...(PF07992)	208539
short chain dehydrogenase(PF00106)	206976
MORN repeat(PF02493)	199193
tRNA synthetases class I (I, L,...(PF00133)	193810
NADH-Ubiquinone/plastoquinone (...(PF00361)	188918
Aminotransferase class-III(PF00202)	175720
Glutamine amidotransferase clas...(PF00117)	166429
Aminomethyltransferase folate-b...(PF01571)	164766
TPR repeat(PF13414)	163405
Molybdopterin-binding domain of...(PF02738)	160775
AcrB/AcrD/AcrF family(PF00873)	158686
DegT/DnrJ/EryC1/StrS aminotrans...(PF01041)	154105
Cys/Met metabolism PLP-dependen...(PF01053)	153400
Metallopeptidase family M24(PF00557)	147187
Aconitase family (aconitate hyd...(PF00330)	135872
Amidase(PF01425)	135781
Elongation factor Tu GTP bindin...(PF00009)	135742
Enoyl-(Acyl carrier protein) re...(PF13561)	132861
Glycosyl transferase family 2(PF00535)	127541
Lyase(PF00206)	126078
Cytochrome C and Quinol oxidase...(PF00115)	122949
Capsid protein (F protein)(PF02305)	122455
Response regulator receiver dom...(PF00072)	121467
Aldo/keto reductase family(PF00248)	120647
Nucleotidyl transferase(PF00483)	120256
Amino acid kinase family(PF00696)	120042
FAD binding domain(PF00890)	117896
Phage integrase family(PF00589)	112454
DEAD/DEAH box helicase(PF00270)	111159
Metallo-beta-lactamase superfam...(PF00753)	109755
Sulfatase(PF00884)	109587
Bacterial extracellular solute-...(PF00496)	109353
ATP synthase alpha/beta family,...(PF00006)	108668
Integrase core domain(PF00665)	108494
Ankyrin repeats (3 copies)(PF12796)	106888
Carbamoyl-phosphate synthase L ...(PF02786)	106364
Histidine kinase-, DNA gyrase B...(PF02518)	105861
Alpha/beta hydrolase family(PF12697)	105567
EamA-like transporter family(PF00892)	104762
Tetrapyrrole (Corrin/Porphyrin)...(PF00590)	103453
Inorganic H+ pyrophosphatase(PF03030)	103210
Glutamine synthetase, catalytic...(PF00120)	101114
50S ribosome-binding GTPase(PF01926)	98627
Thiamine pyrophosphate enzyme, ...(PF02776)	98523
Thiamine pyrophosphate enzyme, ...(PF02775)	97782
Isocitrate/isopropylmalate dehy...(PF00180)	95571
Penicillin binding protein tran...(PF00905)	94536
Enoyl-CoA hydratase/isomerase f...(PF00378)	94250
Amidohydrolase family(PF01979)	91964
Bacteriophage replication gene ...(PF05840)	91841
ATPase family associated with v...(PF00004)	91073
tRNA synthetases class I (W and...(PF00579)	90876
Helicase conserved C-terminal d...(PF00271)	89929
Hsp70 protein(PF00012)	88843
Glycine cleavage system P-prote...(PF02347)	88534
Zinc-binding dehydrogenase(PF00107)	88375
Conserved region in glutamate s...(PF01645)	88273
Microvirus H protein (pilot pro...(PF04687)	88199
TCP-1/cpn60 chaperonin family(PF00118)	87703
tRNA synthetases class II (D, K...(PF00152)	87567
Transketolase, pyrimidine bindi...(PF02779)	86902
Peptidase family M20/M25/M40(PF01546)	85284
Dehydratase family(PF00920)	85046
Carboxyl transferase domain(PF01039)	84006
UbiA prenyltransferase family(PF01040)	83785
EPSP synthase (3-phosphoshikima...(PF00275)	83200
Transketolase, thiamine diphosp...(PF00456)	82976
Ribonucleotide reductase, barre...(PF02867)	80080
Amidohydrolase(PF13147)	79823
Arginase family(PF00491)	79228
Ammonium Transporter Family(PF00909)	77484
tRNA synthetase class II core d...(PF00587)	76312
Haloacid dehalogenase-like hydr...(PF13419)	75769
Sulfatase-modifying factor enzy...(PF03781)	75205
HMGL-like(PF00682)	75094
Serine hydroxymethyltransferase...(PF00464)	74846
IMP dehydrogenase / GMP reducta...(PF00478)	74490
Alcohol dehydrogenase GroES-lik...(PF08240)	73751
