uproc,diamond
6894379,4976102
4034227,2248581
3615579,2822145
1397752,1368367
1100239,229881
1282401,1110962
264803,1
2811647,2261006
2188600,1793211
3532545,3263171
2695685,2262965
1042427,996018
2565489,2022415
2734762,2382530
3070864,2732824
986137,892233
2537570,2396340
2184971,1252262
2365613,2097553
1687657,1556995
2110852,1905863
2730736,2328863
2086476,1892592
1639639,1404518
1940342,1736996
530440,495581
1576562,1441854
1057934,474734
1245812,1064555
1748009,1441899
1879545,1200239
1517449,1315034
1685772,1489373
583060,561310
1676105,975708
1266185,1141818
1582819,1462371
1229526,1140228
1293770,1029912
1290861,1004619
1329877,1192735
820777,376721
1213196,974898
1422267,1241955
1217864,1100594
1082721,872211
1051664,848259
474041,371478
1226912,1144331
553000,172315
1210987,998630
1164822,994981
1318563,1129337
1073751,834094
1069032,1000282
1138067,1035761
1184586,995486
1152758,712286
836084,293658
1221186,1125569
818860,645282
713745,536776
958584,635526
652191,569291
946182,856598
957750,884726
897779,524502
781637,671458
872513,850382
1019721,843525
874762,909897
981578,833240
582467,147752
1033935,912302
932738,816399
836855,721515
1098801,903804
829276,679003
833744,113164
1030153,926646
498822,363251
805460,726190
883942,828786
925269,868281
868363,662457
928238,846274
918581,788224
1008283,870278
1015534,889215
962007,784703
771342,716866
735252,628300
902645,827609
762197,621380
747528,650304
807420,738438
690316,572817
741116,635737
890263,815869
516082,297112
778101,680270
297549,306910
575487,546445
748939,700001
796352,743560
929033,854403
770992,541986
781501,684420
639550,591766
580604,562229
429473,277578
672288,615144
193121,175796
722494,589829
686839,657936
754163,687216
713929,632716
789093,675708
634046,490232
639218,497029
300054,58960
593037,511169
676464,621774
699400,596875
674994,593756
749391,629256
769358,630003
672476,558063
768804,632893
686967,525437
709820,591386
858021,779948
684419,615004
687099,666344
722963,675475
815831,961819
716984,609505
650381,585326
799693,757731
624057,567926
673987,582653
176785,154963
715944,611675
745515,587821
778705,582048
132261,34065
507206,443310
186899,76302
582638,529906
818245,741425
657588,609393
610009,553647
716747,777963
621480,586962
616922,537643
678008,592713
677128,654950
661146,563890
622722,595023
724740,657691
688662,630753
646029,541812
640545,475646
586483,485892
707144,647329
538216,510397
570397,450666
543682,996645
567668,511293
581377,490593
552630,503474
515232,457504
609751,551662
499671,449486
537671,512194
590190,565313
297028,340619
526560,495421
588428,544677
603904,488379
614848,585718
307551,31649
765606,751530
626691,548170
486728,383282
539043,480311
617621,483895
412958,346483
240363,59130
553259,490060
409881,369518
492936,445342
521655,441852
475518,388313
605069,548010
466300,437463
480240,396501
535788,498864
513987,469547
471130,374681
628959,603508
494729,426639
533586,483984
420243,376260
371372,295916
327117,335902
468854,426080
342442,307098
518966,448141
487755,458139
179781,90698
514620,427500
496467,439109
374947,303057
468903,413119
508190,445411
427249,350149
629358,546274
491234,458294
531806,525549
442881,395470
483503,694840
477221,440776
478314,415711
441074,412651
438100,411006
436043,444016
625820,572026
625688,578370
445429,312392
473458,400745
406360,311169
545772,540131
547251,542622
496725,469452
303054,183384
339645,322511
330428,291660
448514,368690
507663,450398
464343,411368
548746,490809
326229,277393
451717,403316
451018,390226
445395,409324
395133,346225
441093,344884
396463,333851
471006,361280
372537,340986
377869,361573
322407,243773
444565,376411
356977,310417
314755,260445
638392,448571
468811,392454
368287,327461
391796,300676
540552,425804
398336,298912
487481,467788
368124,344316
306197,270806
403718,378810
431433,376541
445747,389346
443560,350634
514077,549601
355921,362372
342501,255011
386246,315708
446043,412353
400324,446812
432444,380968
276762,260214
419887,375466
489574,418196
387842,416701
338482,318167
488731,331102
233712,256330
312397,291762
488479,510031
254137,227381
429047,406363
427537,409368
480923,449569
353393,314687
137542,130370
383852,446076
444855,322417
527958,457267
377049,340658
277298,244463
237425,187011
376797,316661
350212,284011
421981,357055
193497,111543
184805,176905
364026,329467
362550,281352
590384,539297
353441,215946
654284,533631
412518,308719
338876,303527
399598,380276
395191,357566
335046,286304
246508,222820
380530,320179
315477,229541
337600,314287
374486,349735
363472,305503
298695,263773
389816,347035
249501,178889
300128,244082
354593,285247
305546,276573
353026,316831
221211,193028
393044,319157
398103,339438
311811,263744
359133,331569
389770,374126
369634,328965
266102,223444
286785,250286
403057,389053
499250,473058
387684,363658
373669,325091
375238,238204
439589,375647
227844,262666
436930,426020
438482,415416
213283,178954
372981,333614
253325,213680
222798,278423
339641,271383
363595,314182
329155,289668
396470,379289
349065,259608
295060,246192
396941,381362
223257,214846
316345,242774
353135,342843
300817,225203
222597,216195
263984,256340
235933,208407
445045,398753
287874,226744
308541,274300
302621,223164
193433,157601
229427,203925
304374,272973
252638,222314
317116,290226
219055,201510
299415,247051
325926,272243
364612,338813
316506,274920
228458,221246
253051,235042
338058,309401
339282,280523
258059,226846
307407,259677
246895,245279
383381,333191
263225,238117
369264,320543
263587,242984
314399,265751
323131,289857
256071,237067
258141,207922
323683,252790
288914,254385
383728,341424
331964,280483
338725,307544
308106,297846
150759,102812
227204,140764
221680,211876
337508,299355
339811,335931
192007,182164
370206,327010
161012,122744
234291,212816
329204,302527
302362,300414
321547,269573
245212,153493
227898,207792
352797,302800
153612,1113
235829,195425
246256,189866
360794,307448
272718,244016
542535,450558
282803,235645
276411,325534
311874,249636
302170,261978
319446,278941
291598,230544
256095,232110
376277,364484
311921,274724
330864,293102
345972,266957
402034,373641
311979,264880
271022,264069
