uproc,tara
149993,54627
98937,10665
81605,2154
71215,6260
64351,2392
56814,27243
52928,9591
47752,4886
41951,7108
40460,5033
38406,5848
36999,4154
36375,28410
36238,5810
34589,6089
33234,2310
33146,16870
32752,4019
32176,20525
31574,1450
30920,447
27714,6928
27666,1707
27634,6666
27273,8871
27155,3428
26205,3675
25775,5333
25179,10452
24964,1720
24596,4088
23546,5473
22592,3062
22466,3942
21681,12443
21526,5777
20412,3579
20124,4768
19593,1979
19061,9551
18667,2520
18030,7
16981,2845
16099,8081
15793,3031
15639,2520
15629,7698
15371,1554
15289,871
15239,6647
14898,114
13313,10760
12686,1164
12265,31234
12246,893
12167,4701
12047,4565
11880,2950
11576,1311
11358,1418
11253,2797
11043,1405
10909,1263
10816,832
10737,613
10730,1544
10430,1122
10315,8157
9985,1155
9945,102
9930,3788
9856,3443
9815,2045
9516,4065
9498,927
9449,691
9401,2439
9373,6282
9342,1021
9186,761
9060,747
8920,1589
8874,3550
8858,1563
8813,617
8804,4529
8752,679
8717,2651
8692,321
8654,1017
8651,560
8575,1733
8529,1245
8507,569
8494,1149
8423,3035
8257,610
8247,1368
8231,736
8123,857
8119,10665
7975,782
7806,4528
7788,459
7746,706
7690,796
7624,366
7556,551
7542,4609
7541,1543
7461,2453
7331,1544
7289,802
7172,2435
7156,2026
7031,423
6972,449
6968,409
6886,417
6790,430
6768,102
6724,497
6709,1588
6707,2258
6687,363
6673,1895
6668,44
6666,1168
6660,909
6592,1598
6545,776
6483,490
6465,4569
6408,660
6362,1119
6280,795
6259,583
6249,413
6236,911
6202,2556
6190,658
6138,558
6096,1439
6033,608
6032,1104
5999,108
5879,843
5850,385
5823,1760
5779,2062
5755,4152
5744,2152
5725,755
5686,565
5665,2526
5649,702
5541,85
5522,1705
5424,457
5415,519
5384,1
5376,287
5370,57
5357,687
5342,583
5323,636
5315,419
5281,669
5236,758
5222,532
5217,1656
5196,727
5189,989
5178,393
5161,2253
5158,2009
5100,953
5027,353
4937,1830
4912,553
4910,234
4907,150
4894,1531
4894,1132
4869,1497
4841,168
4830,287
4718,471
4706,2170
4672,2914
4649,1825
4629,670
4546,393
4499,301
4462,4233
4451,345
4442,1783
4427,719
4414,207
4399,246
4375,514
4367,1826
4363,1963
4298,485
4294,361
4286,1531
4286,1826
4272,338
4258,696
4229,390
4224,204
4219,177
4215,435
4187,235
4171,1360
4151,166
4150,7137
4147,887
4085,2116
4083,167
4044,336
4036,390
4025,764
4018,1723
4015,359
4004,413
4003,226
3989,913
3983,945
3979,805
3978,806
3973,192
3942,694
3941,724
3926,499
3908,271
3890,708
3858,210
3856,3264
3832,440
3830,851
3816,346
3808,1731
3794,150
3767,1048
3754,1202
3747,4894
3744,446
3717,730
3713,898
3711,677
3687,181
3681,40
3675,3802
3674,681
3661,181
3641,1148
3634,777
3633,356
3630,357
3613,224
3608,380
3608,98
3606,236
3594,341
3592,1105
3560,1520
3510,1451
3502,268
3484,446
3482,782
3466,383
3456,498
3426,833
3403,301
3368,551
3359,294
3356,587
3348,833
3346,511
3346,230
3345,644
3324,521
3314,19
3308,907
3299,1019
3290,166
3284,402
3255,182
3254,289
3246,8314
3243,360
3232,281
3226,347
3216,6748
3202,113
3186,1160
3179,369
3178,401
3164,253
3143,200
3131,213
3125,1472
3125,300
3104,187
3099,139
3098,591
3084,153
3055,488
3035,19
3034,281
3034,454
3028,149
3016,258
2992,133
2981,4
2975,588
2970,342
2962,728
2962,234
2959,108
2959,207
2946,238
2939,244
2936,412
2936,1034
2926,4
2925,285
2921,435
2892,836
2892,268
2878,539
2870,219
2869,1504
2865,254
2851,840
2842,268
2842,1116
2841,118
2813,824
2812,235
2804,564
2795,276
2789,15
2787,89
2763,750
2757,1383
2756,1290
2746,124
2743,460
2741,177
2741,170
2739,354
2732,505
2714,194
2707,1225
2701,154
2698,762
2697,371
2695,287
2692,296
2691,326
2678,1
2678,83
2670,1765
2670,2422
2669,231
2668,565
2666,194
2662,348
2657,6
2651,782
2650,3180
2650,223
2635,284
2622,346
2618,195
2605,175
2604,956
2581,195
2577,263
2572,1436
2568,226
2564,175
2544,549
2542,854
2532,270
2531,31234
2513,142
2496,341
2492,896
2490,218
2487,181
2478,699
2474,356
2471,199
2462,488
2461,169
2461,555
2460,638
2451,401
2450,367
2441,573
2418,681
2404,199
2399,483
2399,277
2391,5093
2388,2542
2369,201
2368,1589
2368,233
2362,43
2354,9121
2350,788
2347,390
2347,125
2346,263
2332,1095
2330,152
2321,1902
2311,145
2305,272
2303,143
2299,2288
2297,322
2295,3599
2293,278
2291,275
2287,158
2280,2
2280,475
2278,1499
2276,116
2258,577
2253,104
2250,326
2243,247
2234,16
2230,325
2227,170
2218,303
2213,518
