pfam	count
CobQ/CobB/MinD/ParA nucleotide ...(PF01656)	7561
Chloramphenicol acetyltransfera...(PF00302)	5993
Initiator Replication protein(PF01051)	4418
ParB-like nuclease domain(PF02195)	2956
Phage integrase family(PF00589)	2279
ABC transporter(PF00005)	1241
Integrase core domain(PF00665)	1092
Transposase DDE domain(PF01609)	1053
AcrB/AcrD/AcrF family(PF00873)	1050
Response regulator receiver dom...(PF00072)	932
Transposase(PF01527)	629
Binding-protein-dependent trans...(PF00528)	586
HTH-like domain(PF13276)	582
Radical SAM superfamily(PF04055)	553
Histidine kinase-, DNA gyrase B...(PF02518)	508
Transposase, Mutator family(PF00872)	503
Pyridine nucleotide-disulphide ...(PF07992)	489
DDE superfamily endonuclease(PF13358)	483
Elongation factor Tu GTP bindin...(PF00009)	460
Transposase DDE domain(PF13586)	454
Glycosyl transferases group 1(PF00534)	435
Major Facilitator Superfamily(PF07690)	426
tRNA synthetases class I (I, L,...(PF00133)	412
Aminotransferase class I and II...(PF00155)	342
Nucleotidyl transferase(PF00483)	339
NAD dependent epimerase/dehydra...(PF01370)	333
Aldehyde dehydrogenase family(PF00171)	333
AMP-binding enzyme(PF00501)	328
ATPase family associated with v...(PF00004)	324
DEAD/DEAH box helicase(PF00270)	302
Hsp70 protein(PF00012)	293
AAA domain(PF13304)	288
Helicase conserved C-terminal d...(PF00271)	284
SPFH domain / Band 7 family(PF01145)	278
Molybdopterin oxidoreductase(PF00384)	273
Pyridoxal-phosphate dependent e...(PF00291)	271
Integrase core domain(PF13683)	270
S1 RNA binding domain(PF00575)	267
N-6 DNA Methylase(PF02384)	266
50S ribosome-binding GTPase(PF01926)	264
GGDEF domain(PF00990)	261
UvrD-like helicase C-terminal d...(PF13361)	260
His Kinase A (phospho-acceptor)...(PF00512)	257
Amino acid kinase family(PF00696)	249
Aminotransferase class-III(PF00202)	246
short chain dehydrogenase(PF00106)	242
Haloacid dehalogenase-like hydr...(PF13419)	241
RNA polymerase Rpb1, domain 5(PF04998)	238
Penicillin binding protein tran...(PF00905)	234
AAA domain (Cdc48 subfamily)(PF07724)	234
ATP synthase alpha/beta family,...(PF00006)	227
Elongation factor Tu domain 2(PF03144)	219
Sigma-54 interaction domain(PF00158)	215
DNA gyrase/topoisomerase IV, su...(PF00521)	210
HlyD family secretion protein(PF12700)	205
MacB-like periplasmic core doma...(PF12704)	204
Branched-chain amino acid trans...(PF02653)	202
FAD dependent oxidoreductase(PF01266)	202
Methyl-accepting chemotaxis pro...(PF00015)	201
Cytochrome D1 heme domain(PF02239)	196
Reverse transcriptase (RNA-depe...(PF00078)	192
haloacid dehalogenase-like hydr...(PF00702)	192
Aminotransferase class-V(PF00266)	190
Type III restriction enzyme, re...(PF04851)	189
NADH-Ubiquinone/plastoquinone (...(PF00361)	188
RecF/RecN/SMC N terminal domain...(PF02463)	188
Peptidase family M48(PF01435)	187
Glycosyl transferase family 2(PF00535)	187
EAL domain(PF00563)	187
Rhodopirellula transposase DDE ...(PF07592)	185
pfkB family carbohydrate kinase...(PF00294)	184
IS1 transposase(PF03400)	184
GcpE protein(PF04551)	183
Type II/IV secretion system pro...(PF00437)	180
Carbohydrate phosphorylase(PF00343)	178
Sulfatase(PF00884)	177
Lyase(PF00206)	175
Transposase IS66 family (PF03050)	174
Anticodon-binding domain of tRN...(PF08264)	170
DegT/DnrJ/EryC1/StrS aminotrans...(PF01041)	170
UvrD/REP helicase N-terminal do...(PF00580)	163
Bacterial extracellular solute-...(PF00496)	162
DctM-like transporters(PF06808)	159
Phosphotransferase enzyme famil...(PF01636)	157
Metallo-beta-lactamase superfam...(PF00753)	155
tRNA synthetases class I (E and...(PF00749)	155
RNA polymerase Rpb2, domain 6(PF00562)	155
Helix-hairpin-helix domain(PF14520)	154
Mur ligase middle domain(PF08245)	153
tRNA synthetases class II (D, K...(PF00152)	153
Alpha amylase, catalytic domain...(PF00128)	153
TPR repeat(PF13414)	153
E1-E2 ATPase(PF00122)	151
Type II secretion system (T2SS)...(PF00482)	151
Peptidase family M3(PF01432)	150
Histidyl-tRNA synthetase(PF13393)	149
Isocitrate/isopropylmalate dehy...(PF00180)	148
FAD binding domain(PF01494)	146
MotA/TolQ/ExbB proton channel f...(PF01618)	145
FtsX-like permease family(PF02687)	143
Universal stress protein family...(PF00582)	142
Transposase(PF01610)	142
Winged helix-turn helix(PF13551)	140
EPSP synthase (3-phosphoshikima...(PF00275)	140
AIR synthase related protein, C...(PF02769)	140
Outer membrane efflux protein(PF02321)	139
Mechanosensitive ion channel(PF00924)	137
NUDIX domain(PF00293)	137
Subtilase family(PF00082)	136
Peptidase family M50(PF02163)	136
PEP-utilising enzyme, TIM barre...(PF02896)	136
Carbon-nitrogen hydrolase(PF00795)	135
AhpC/TSA family(PF00578)	135
HD domain(PF01966)	135
Peptidase family M20/M25/M40(PF01546)	134
HD domain(PF13328)	134
tRNA synthetases class I (R)(PF00750)	132
Cytochrome C oxidase, cbb3-type...(PF13442)	132
AAA domain(PF13614)	132
